year,value,source,note
1990,16465588,Economic Commission for Latin America and the Caribbean,
1991,18027110,Economic Commission for Latin America and the Caribbean,
1992,19575000,Economic Commission for Latin America and the Caribbean,
1993,22565625,Economic Commission for Latin America and the Caribbean,
1994,24251250,Economic Commission for Latin America and the Caribbean,
1995,25882500,Economic Commission for Latin America and the Caribbean,
1996,24468750,Economic Commission for Latin America and the Caribbean,
1997,25610625,Economic Commission for Latin America and the Caribbean,
1998,25936875,Economic Commission for Latin America and the Caribbean,
1999,28057500,Economic Commission for Latin America and the Caribbean,
2000,31755000,Economic Commission for Latin America and the Caribbean,
2001,31863750,Economic Commission for Latin America and the Caribbean,
2002,32733750,Economic Commission for Latin America and the Caribbean,
2003,35506875,Economic Commission for Latin America and the Caribbean,
2004,34963125,Economic Commission for Latin America and the Caribbean,
2005,34800000,Economic Commission for Latin America and the Caribbean,
2006,49155000,Economic Commission for Latin America and the Caribbean,
2007,50296875,Economic Commission for Latin America and the Caribbean,
2008,52363125,Economic Commission for Latin America and the Caribbean,
2009,57691875,Economic Commission for Latin America and the Caribbean,
2010,70092520,Economic Commission for Latin America and the Caribbean,
2011,67666537,Economic Commission for Latin America and the Caribbean,
2012,62942243,Economic Commission for Latin America and the Caribbean,
