year,value,source,note
1990,14090400,Economic Commission for Latin America and the Caribbean,
1991,14333200,Economic Commission for Latin America and the Caribbean,
1992,13164700,Economic Commission for Latin America and the Caribbean,
1993,5676300,Economic Commission for Latin America and the Caribbean,
1994,3434200,Economic Commission for Latin America and the Caribbean,
1995,7857100,Economic Commission for Latin America and the Caribbean,
1996,8105300,Economic Commission for Latin America and the Caribbean,
1997,-374600,Economic Commission for Latin America and the Caribbean,
1998,-1893700,Economic Commission for Latin America and the Caribbean,
1999,-1081600,Economic Commission for Latin America and the Caribbean,
2000,-981700,Economic Commission for Latin America and the Caribbean,
2001,-1626200,Economic Commission for Latin America and the Caribbean,
2002,-536100,Economic Commission for Latin America and the Caribbean,
2003,-1137000,Economic Commission for Latin America and the Caribbean,
2004,-1623900,Economic Commission for Latin America and the Caribbean,
2005,0,Economic Commission for Latin America and the Caribbean,
2006,3138600,Economic Commission for Latin America and the Caribbean,
2007,3905000,Economic Commission for Latin America and the Caribbean,
2008,4326700,Economic Commission for Latin America and the Caribbean,
2009,4395300,Economic Commission for Latin America and the Caribbean,
2010,1576800,Economic Commission for Latin America and the Caribbean,
2011,28999,Economic Commission for Latin America and the Caribbean,
2012,697300,Economic Commission for Latin America and the Caribbean,
