year,value,source,note
1990,31588500,Economic Commission for Latin America and the Caribbean,
1991,31439100,Economic Commission for Latin America and the Caribbean,
1992,45753600,Economic Commission for Latin America and the Caribbean,
1993,38723800,Economic Commission for Latin America and the Caribbean,
1994,49911500,Economic Commission for Latin America and the Caribbean,
1995,60437600,Economic Commission for Latin America and the Caribbean,
1996,64827900,Economic Commission for Latin America and the Caribbean,
1997,101851400,Economic Commission for Latin America and the Caribbean,
1998,96590900,Economic Commission for Latin America and the Caribbean,
1999,116704000,Economic Commission for Latin America and the Caribbean,
2000,102444100,Economic Commission for Latin America and the Caribbean,
2001,67894200,Economic Commission for Latin America and the Caribbean,
2002,114874400,Economic Commission for Latin America and the Caribbean,
2003,119063500,Economic Commission for Latin America and the Caribbean,
2004,126532600,Economic Commission for Latin America and the Caribbean,
2005,110972800,Economic Commission for Latin America and the Caribbean,
2006,128124599,Economic Commission for Latin America and the Caribbean,
2007,140743100,Economic Commission for Latin America and the Caribbean,
2008,140329100,Economic Commission for Latin America and the Caribbean,
2009,146711500,Economic Commission for Latin America and the Caribbean,
2010,147368300,Economic Commission for Latin America and the Caribbean,
2011,155607500,Economic Commission for Latin America and the Caribbean,
2012,160262400,Economic Commission for Latin America and the Caribbean,
