year,value,source,note
1990,230685800,Economic Commission for Latin America and the Caribbean,
1991,224350000,Economic Commission for Latin America and the Caribbean,
1992,248025700,Economic Commission for Latin America and the Caribbean,
1993,260814200,Economic Commission for Latin America and the Caribbean,
1994,259777699,Economic Commission for Latin America and the Caribbean,
1995,265901400,Economic Commission for Latin America and the Caribbean,
1996,274205300,Economic Commission for Latin America and the Caribbean,
1997,284888600,Economic Commission for Latin America and the Caribbean,
1998,305567300,Economic Commission for Latin America and the Caribbean,
1999,302870600,Economic Commission for Latin America and the Caribbean,
2000,244219500,Economic Commission for Latin America and the Caribbean,
2001,262918200,Economic Commission for Latin America and the Caribbean,
2002,299718800,Economic Commission for Latin America and the Caribbean,
2003,288827700,Economic Commission for Latin America and the Caribbean,
2004,155871800,Economic Commission for Latin America and the Caribbean,
2005,162818800,Economic Commission for Latin America and the Caribbean,
2006,300520600,Economic Commission for Latin America and the Caribbean,
2007,314299800,Economic Commission for Latin America and the Caribbean,
2008,328245800,Economic Commission for Latin America and the Caribbean,
2009,313872200,Economic Commission for Latin America and the Caribbean,
2010,328173600,Economic Commission for Latin America and the Caribbean,
2011,344834900,Economic Commission for Latin America and the Caribbean,
2012,354072400,Economic Commission for Latin America and the Caribbean,
