year,value,source,note
1990,81971900,Economic Commission for Latin America and the Caribbean,
1991,272489400,Economic Commission for Latin America and the Caribbean,
1992,411981300,Economic Commission for Latin America and the Caribbean,
1993,238330200,Economic Commission for Latin America and the Caribbean,
1994,183570300,Economic Commission for Latin America and the Caribbean,
1995,357025600,Economic Commission for Latin America and the Caribbean,
1996,230212900,Economic Commission for Latin America and the Caribbean,
1997,15075500,Economic Commission for Latin America and the Caribbean,
1998,10822800,Economic Commission for Latin America and the Caribbean,
1999,10784100,Economic Commission for Latin America and the Caribbean,
2000,7563900,Economic Commission for Latin America and the Caribbean,
2001,11748300,Economic Commission for Latin America and the Caribbean,
2002,16555900,Economic Commission for Latin America and the Caribbean,
2003,14628100,Economic Commission for Latin America and the Caribbean,
2004,7046500,Economic Commission for Latin America and the Caribbean,
2005,0,Economic Commission for Latin America and the Caribbean,
2006,-3306700,Economic Commission for Latin America and the Caribbean,
2007,-494100,Economic Commission for Latin America and the Caribbean,
2008,265400,Economic Commission for Latin America and the Caribbean,
2009,-512200,Economic Commission for Latin America and the Caribbean,
2010,3907600,Economic Commission for Latin America and the Caribbean,
2011,-3720600,Economic Commission for Latin America and the Caribbean,
2012,-9014100,Economic Commission for Latin America and the Caribbean,
