year,value,source,note
1990,59665100,Economic Commission for Latin America and the Caribbean,
1991,86566600,Economic Commission for Latin America and the Caribbean,
1992,112728200,Economic Commission for Latin America and the Caribbean,
1993,141709400,Economic Commission for Latin America and the Caribbean,
1994,82530700,Economic Commission for Latin America and the Caribbean,
1995,118905200,Economic Commission for Latin America and the Caribbean,
1996,149046300,Economic Commission for Latin America and the Caribbean,
1997,241912000,Economic Commission for Latin America and the Caribbean,
1998,274801000,Economic Commission for Latin America and the Caribbean,
1999,194130700,Economic Commission for Latin America and the Caribbean,
2000,199390300,Economic Commission for Latin America and the Caribbean,
2001,223857300,Economic Commission for Latin America and the Caribbean,
2002,202977400,Economic Commission for Latin America and the Caribbean,
2003,43952200,Economic Commission for Latin America and the Caribbean,
2004,55358700,Economic Commission for Latin America and the Caribbean,
2005,64496600,Economic Commission for Latin America and the Caribbean,
2006,-116583300,Economic Commission for Latin America and the Caribbean,
2007,-8034300,Economic Commission for Latin America and the Caribbean,
2008,72339400,Economic Commission for Latin America and the Caribbean,
2009,22010100,Economic Commission for Latin America and the Caribbean,
2010,-7687400,Economic Commission for Latin America and the Caribbean,
2011,58738300,Economic Commission for Latin America and the Caribbean,
2012,192502400,Economic Commission for Latin America and the Caribbean,
