year,value
1950,37260
1951,37795
1952,38425
1953,39123
1954,39867
1955,40639
1956,41428
1957,42229
1958,43042
1959,43869
1960,44714
1961,45574
1962,46438
1963,47287
1964,48094
1965,48841
1966,49518
1967,50129
1968,50692
1969,51232
1970,51766
1971,52302
1972,52833
1973,53349
1974,53834
1975,54280
1976,54685
1977,55054
1978,55399
1979,55733
1980,56067
1981,56403
1982,56742
1983,57086
1984,57442
1985,57813
1986,58202
1987,58607
1988,59018
1989,59418
1990,59798
1991,60152
1992,60485
1993,60801
1994,61106
1995,61407
1996,61703
1997,61992
1998,62276
1999,62557
2000,62837
2001,63116
2002,63393
2003,63661
2004,63911
2005,64137
2006,64337
2007,64512
2008,64667
2009,64812
2010,64950
