key,value
name,Bahamas - Post and telecommunications [CEPALStat]
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,Post and telecommunications [2216]
description,Sectoral GDP: Post and telecommunications
category,Economic
type,GDP
file,gdp-sec--pt_bhs_cepalstat.csv
filehash,d232faa4f2e47d7c2b16f6ac53bae8d0347172c5
columns,"year,value,source,notes"
