year,value,source,note
1990,62332326,Economic Commission for Latin America and the Caribbean,
1991,72945454,Economic Commission for Latin America and the Caribbean,
1992,77670909,Economic Commission for Latin America and the Caribbean,
1993,91977883,Economic Commission for Latin America and the Caribbean,
1994,107107697,Economic Commission for Latin America and the Caribbean,
1995,132803827,Economic Commission for Latin America and the Caribbean,
1996,138192779,Economic Commission for Latin America and the Caribbean,
1997,135063373,Economic Commission for Latin America and the Caribbean,
1998,173347655,Economic Commission for Latin America and the Caribbean,
1999,224826118,Economic Commission for Latin America and the Caribbean,
2000,262708123,Economic Commission for Latin America and the Caribbean,
2001,380938533,Economic Commission for Latin America and the Caribbean,
2002,495250656,Economic Commission for Latin America and the Caribbean,
2003,573086133,Economic Commission for Latin America and the Caribbean,
2004,629135931,Economic Commission for Latin America and the Caribbean,
2005,785392016,Economic Commission for Latin America and the Caribbean,
2006,980217113,Economic Commission for Latin America and the Caribbean,
2007,1126695765,Economic Commission for Latin America and the Caribbean,
2008,1351216257,Economic Commission for Latin America and the Caribbean,
2009,1540487834,Economic Commission for Latin America and the Caribbean,
2010,1668547921,Economic Commission for Latin America and the Caribbean,
2011,1640508655,Economic Commission for Latin America and the Caribbean,
2012,1693272316,Economic Commission for Latin America and the Caribbean,
