year,value,source,note
1990,5017695,Economic Commission for Latin America and the Caribbean,
1991,6072349,Economic Commission for Latin America and the Caribbean,
1992,6180726,Economic Commission for Latin America and the Caribbean,
1993,6302043,Economic Commission for Latin America and the Caribbean,
1994,6523650,Economic Commission for Latin America and the Caribbean,
1995,6583500,Economic Commission for Latin America and the Caribbean,
1996,7374491,Economic Commission for Latin America and the Caribbean,
1997,7573452,Economic Commission for Latin America and the Caribbean,
1998,8448556,Economic Commission for Latin America and the Caribbean,
1999,10108180,Economic Commission for Latin America and the Caribbean,
2000,11035047,Economic Commission for Latin America and the Caribbean,
2001,10096693,Economic Commission for Latin America and the Caribbean,
2002,14134645,Economic Commission for Latin America and the Caribbean,
2003,22616579,Economic Commission for Latin America and the Caribbean,
2004,22954374,Economic Commission for Latin America and the Caribbean,
2005,24127359,Economic Commission for Latin America and the Caribbean,
2006,27377628,Economic Commission for Latin America and the Caribbean,
2007,23186262,Economic Commission for Latin America and the Caribbean,
2008,23603557,Economic Commission for Latin America and the Caribbean,
2009,22116342,Economic Commission for Latin America and the Caribbean,
2010,20360730,Economic Commission for Latin America and the Caribbean,
2011,20192216,Economic Commission for Latin America and the Caribbean,
2012,20368372,Economic Commission for Latin America and the Caribbean,
