year,value,source,note
1990,6107089,Economic Commission for Latin America and the Caribbean,
1991,7447133,Economic Commission for Latin America and the Caribbean,
1992,8051252,Economic Commission for Latin America and the Caribbean,
1993,8335004,Economic Commission for Latin America and the Caribbean,
1994,8948276,Economic Commission for Latin America and the Caribbean,
1995,9748276,Economic Commission for Latin America and the Caribbean,
1996,10132715,Economic Commission for Latin America and the Caribbean,
1997,10736833,Economic Commission for Latin America and the Caribbean,
1998,13411431,Economic Commission for Latin America and the Caribbean,
1999,14952848,Economic Commission for Latin America and the Caribbean,
2000,17997239,Economic Commission for Latin America and the Caribbean,
2001,18486653,Economic Commission for Latin America and the Caribbean,
2002,16437968,Economic Commission for Latin America and the Caribbean,
2003,21727109,Economic Commission for Latin America and the Caribbean,
2004,25144893,Economic Commission for Latin America and the Caribbean,
2005,27141672,Economic Commission for Latin America and the Caribbean,
2006,27730731,Economic Commission for Latin America and the Caribbean,
2007,36578287,Economic Commission for Latin America and the Caribbean,
2008,36690891,Economic Commission for Latin America and the Caribbean,
2009,35197164,Economic Commission for Latin America and the Caribbean,
2010,33281999,Economic Commission for Latin America and the Caribbean,
2011,32198623,Economic Commission for Latin America and the Caribbean,
2012,32809343,Economic Commission for Latin America and the Caribbean,
