key,value
name,Dominica - Post and telecommunications [CEPALStat]
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,Post and telecommunications [2216]
description,Sectoral GDP: Post and telecommunications
category,Economic
type,GDP
file,gdp-sec--pt_dma_cepalstat.csv
filehash,708073128bd8d21ab8fc65cff844f1c7341f1352
columns,"year,value,source,notes"
