key,value
name,Bahamas - Official unemployment rate [CEPALStat]
originalsource,Economic Commission for Latin America and the Caribbean: Economic Development Division.                                                                                                                                                                                                                                                                                                                                                                                  
proximatesource,CEPALStat
dataset,Unemployment rate (ECLAC) [127]
description,Corresponds to the official unemployment rate of each country
category,Economic
type,Unemployment
file,unemployment_bhs_cepalstat.csv
filehash,13e0363d40ba5ad7b02b4e2b9e80daf6260f5f4e
columns,"year,value,source,notes"
