key,value
name,Dominican Republic - Official unemployment rate [CEPALStat]
originalsource,Economic Commission for Latin America and the Caribbean: Economic Development Division.                                                                                                                                                                                                                                                                                                                                                                                  
proximatesource,CEPALStat
dataset,Unemployment rate (ECLAC) [127]
description,Corresponds to the official unemployment rate of each country
category,Economic
type,Unemployment
file,unemployment_dom_cepalstat.csv
filehash,1cc64a73cdcaa7b11184e3863b74d3c5fc17c1e8
columns,"year,value,source,notes"
