key,value
name,"Bahamas - Wholesale and retail trade, and repair of goods [CEPALStat]"
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,"Wholesale and retail trade, and repair of goods [2216]"
description,"Sectoral GDP: Wholesale and retail trade, and repair of goods"
category,Economic
type,GDP
file,gdp-sec--wrtrg_bhs_cepalstat.csv
filehash,3f175b063e1f5029d6b5cdb3751bbb285f56594d
columns,"year,value,source,notes"
