key,value
name,"Belize - Wholesale and retail trade, and repair of goods [CEPALStat]"
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,"Wholesale and retail trade, and repair of goods [2216]"
description,"Sectoral GDP: Wholesale and retail trade, and repair of goods"
category,Economic
type,GDP
file,gdp-sec--wrtrg_blz_cepalstat.csv
filehash,3da58e820cc7b74606ee529570c31f7635805e58
columns,"year,value,source,notes"
