year,value,source,note
1997,632065505,Economic Commission for Latin America and the Caribbean,
1998,662895994,Economic Commission for Latin America and the Caribbean,
1999,691247851,Economic Commission for Latin America and the Caribbean,
2000,728076782,Economic Commission for Latin America and the Caribbean,
2001,732094795,Economic Commission for Latin America and the Caribbean,
2002,745971135,Economic Commission for Latin America and the Caribbean,
2003,718894793,Economic Commission for Latin America and the Caribbean,
2004,767602488,Economic Commission for Latin America and the Caribbean,
2005,825133999,Economic Commission for Latin America and the Caribbean,
2006,836044935,Economic Commission for Latin America and the Caribbean,
2007,818204879,Economic Commission for Latin America and the Caribbean,
2008,793751010,Economic Commission for Latin America and the Caribbean,
2009,781833190,Economic Commission for Latin America and the Caribbean,
2010,729862883,Economic Commission for Latin America and the Caribbean,
2011,687534665,Economic Commission for Latin America and the Caribbean,
2012,682497384,Economic Commission for Latin America and the Caribbean,
