year,value,source,note
1990,26235605,Economic Commission for Latin America and the Caribbean,
1991,28356782,Economic Commission for Latin America and the Caribbean,
1992,30665718,Economic Commission for Latin America and the Caribbean,
1993,33583605,Economic Commission for Latin America and the Caribbean,
1994,36268060,Economic Commission for Latin America and the Caribbean,
1995,38764756,Economic Commission for Latin America and the Caribbean,
1996,39586839,Economic Commission for Latin America and the Caribbean,
1997,42976662,Economic Commission for Latin America and the Caribbean,
1998,47274835,Economic Commission for Latin America and the Caribbean,
1999,51060476,Economic Commission for Latin America and the Caribbean,
2000,54978056,Economic Commission for Latin America and the Caribbean,
2001,57061901,Economic Commission for Latin America and the Caribbean,
2002,59070358,Economic Commission for Latin America and the Caribbean,
2003,63663846,Economic Commission for Latin America and the Caribbean,
2004,69164172,Economic Commission for Latin America and the Caribbean,
2005,72533333,Economic Commission for Latin America and the Caribbean,
2006,76133746,Economic Commission for Latin America and the Caribbean,
2007,82997760,Economic Commission for Latin America and the Caribbean,
2008,86212742,Economic Commission for Latin America and the Caribbean,
2009,79200912,Economic Commission for Latin America and the Caribbean,
2010,78491381,Economic Commission for Latin America and the Caribbean,
2011,75100511,Economic Commission for Latin America and the Caribbean,
2012,76249723,Economic Commission for Latin America and the Caribbean,
