key,value
name,"Saint Kitts and Nevis - Wholesale and retail trade, and repair of goods [CEPALStat]"
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,"Wholesale and retail trade, and repair of goods [2216]"
description,"Sectoral GDP: Wholesale and retail trade, and repair of goods"
category,Economic
type,GDP
file,gdp-sec--wrtrg_kna_cepalstat.csv
filehash,5477aaee93efa66d639f1fbb59b1a389b838cee4
columns,"year,value,source,notes"
