month,canefield-airport,elville-hall-airport
1970-01-01 00:00:00,,67.30
1970-02-01 00:00:00,,60.50
1970-03-01 00:00:00,,67.80
1970-04-01 00:00:00,,67.60
1970-05-01 00:00:00,,215.10
1970-06-01 00:00:00,,326.60
1970-07-01 00:00:00,,406.40
1970-08-01 00:00:00,,320.30
1970-09-01 00:00:00,,369.30
1970-10-01 00:00:00,,536.70
1970-11-01 00:00:00,,430.30
1970-12-01 00:00:00,,484.60
1971-01-01 00:00:00,,96.50
1971-02-01 00:00:00,,85.30
1971-03-01 00:00:00,,42.20
1971-04-01 00:00:00,,49.80
1971-05-01 00:00:00,,137.70
1971-06-01 00:00:00,,117.10
1971-07-01 00:00:00,,176.50
1971-08-01 00:00:00,,254.80
1971-09-01 00:00:00,,116.30
1971-10-01 00:00:00,,178.80
1971-11-01 00:00:00,,64.30
1971-12-01 00:00:00,,255.00
1972-01-01 00:00:00,,169.40
1972-02-01 00:00:00,,183.40
1972-03-01 00:00:00,,256.50
1972-04-01 00:00:00,,259.10
1972-05-01 00:00:00,,155.40
1972-06-01 00:00:00,,220.20
1972-07-01 00:00:00,,104.60
1972-08-01 00:00:00,,403.60
1972-09-01 00:00:00,,359.40
1972-10-01 00:00:00,,320.30
1972-11-01 00:00:00,,266.20
1972-12-01 00:00:00,,224.80
1973-01-01 00:00:00,,120.40
1973-02-01 00:00:00,,91.70
1973-03-01 00:00:00,,106.20
1973-04-01 00:00:00,,93.50
1973-05-01 00:00:00,,36.60
1973-06-01 00:00:00,,227.30
1973-07-01 00:00:00,,143.80
1973-08-01 00:00:00,,309.40
1973-09-01 00:00:00,,371.90
1973-10-01 00:00:00,,179.60
1973-11-01 00:00:00,,156.20
1973-12-01 00:00:00,,116.80
1974-01-01 00:00:00,,228.60
1974-02-01 00:00:00,,148.60
1974-03-01 00:00:00,,187.20
1974-04-01 00:00:00,,67.60
1974-05-01 00:00:00,,163.30
1974-06-01 00:00:00,,168.90
1974-07-01 00:00:00,,102.40
1974-08-01 00:00:00,,233.40
1974-09-01 00:00:00,,366.50
1974-10-01 00:00:00,,312.90
1974-11-01 00:00:00,,219.00
1974-12-01 00:00:00,,212.90
1975-01-01 00:00:00,,113.50
1975-02-01 00:00:00,,199.60
1975-03-01 00:00:00,,144.00
1975-04-01 00:00:00,,40.90
1975-05-01 00:00:00,,84.60
1975-06-01 00:00:00,,79.00
1975-07-01 00:00:00,,57.20
1975-08-01 00:00:00,,127.80
1975-09-01 00:00:00,,138.40
1975-10-01 00:00:00,,470.20
1975-11-01 00:00:00,,332.20
1975-12-01 00:00:00,,494.80
1976-01-01 00:00:00,,215.90
1976-02-01 00:00:00,,144.50
1976-03-01 00:00:00,,77.50
1976-04-01 00:00:00,,82.30
1976-05-01 00:00:00,,184.90
1976-06-01 00:00:00,,152.20
1976-07-01 00:00:00,,135.40
1976-08-01 00:00:00,,160.00
1976-09-01 00:00:00,,277.90
1976-10-01 00:00:00,,532.90
1976-11-01 00:00:00,,294.10
1976-12-01 00:00:00,,560.80
1977-01-01 00:00:00,,62.00
1977-02-01 00:00:00,,28.50
1977-03-01 00:00:00,,72.10
1977-04-01 00:00:00,,131.10
1977-05-01 00:00:00,,116.80
1977-06-01 00:00:00,,71.60
1977-07-01 00:00:00,,136.10
1977-08-01 00:00:00,,284.70
1977-09-01 00:00:00,,328.40
1977-10-01 00:00:00,,430.50
1977-11-01 00:00:00,,439.40
1977-12-01 00:00:00,,110.20
1978-01-01 00:00:00,,284.70
1978-02-01 00:00:00,,29.70
1978-03-01 00:00:00,,110.00
1978-04-01 00:00:00,,192.50
1978-05-01 00:00:00,,204.80
1978-06-01 00:00:00,,116.80
1978-07-01 00:00:00,,175.50
1978-08-01 00:00:00,,232.70
1978-09-01 00:00:00,,252.00
1978-10-01 00:00:00,,238.80
1978-11-01 00:00:00,,184.70
1978-12-01 00:00:00,,101.60
1979-01-01 00:00:00,,64.30
1979-02-01 00:00:00,,113.30
1979-03-01 00:00:00,,218.20
1979-04-01 00:00:00,,30.50
1979-05-01 00:00:00,,205.50
1979-06-01 00:00:00,,439.70
1979-07-01 00:00:00,,234.70
1979-08-01 00:00:00,,378.20
1979-09-01 00:00:00,,499.40
1979-10-01 00:00:00,,469.60
1979-11-01 00:00:00,,651.30
1979-12-01 00:00:00,,227.60
1980-01-01 00:00:00,,95.80
1980-02-01 00:00:00,,133.60
1980-03-01 00:00:00,,51.80
1980-04-01 00:00:00,,120.70
1980-05-01 00:00:00,,85.60
1980-06-01 00:00:00,,267.00
1980-07-01 00:00:00,,208.30
1980-08-01 00:00:00,,284.20
1980-09-01 00:00:00,,241.80
1980-10-01 00:00:00,,291.30
1980-11-01 00:00:00,,311.70
1980-12-01 00:00:00,,165.60
1981-01-01 00:00:00,,209.00
1981-02-01 00:00:00,,128.00
1981-03-01 00:00:00,,60.70
1981-04-01 00:00:00,,772.90
1981-05-01 00:00:00,,420.40
1981-06-01 00:00:00,,207.00
1981-07-01 00:00:00,,207.00
1981-08-01 00:00:00,,399.80
1981-09-01 00:00:00,,334.80
1981-10-01 00:00:00,,266.20
1981-11-01 00:00:00,,214.40
1981-12-01 00:00:00,,505.00
1982-01-01 00:00:00,98.50,115.10
1982-02-01 00:00:00,131.50,185.10
1982-03-01 00:00:00,101.50,85.10
1982-04-01 00:00:00,50.70,129.00
1982-05-01 00:00:00,151.60,573.40
1982-06-01 00:00:00,123.90,181.10
1982-07-01 00:00:00,227.10,368.20
1982-08-01 00:00:00,251.70,244.50
1982-09-01 00:00:00,268.60,253.80
1982-10-01 00:00:00,178.60,214.80
1982-11-01 00:00:00,177.40,406.70
1982-12-01 00:00:00,97.10,614.30
1983-01-01 00:00:00,103.80,88.40
1983-02-01 00:00:00,6.40,130.30
1983-03-01 00:00:00,69.10,138.80
1983-04-01 00:00:00,3.50,53.00
1983-05-01 00:00:00,103.40,350.50
1983-06-01 00:00:00,81.20,134.10
1983-07-01 00:00:00,313.90,185.20
1983-08-01 00:00:00,275.70,181.40
1983-09-01 00:00:00,299.40,334.90
1983-10-01 00:00:00,100.30,140.50
1983-11-01 00:00:00,97.30,97.20
1983-12-01 00:00:00,92.90,129.50
1984-01-01 00:00:00,153.30,123.80
1984-02-01 00:00:00,35.00,71.90
1984-03-01 00:00:00,39.30,198.50
1984-04-01 00:00:00,7.10,95.70
1984-05-01 00:00:00,31.60,78.40
1984-06-01 00:00:00,105.70,159.10
1984-07-01 00:00:00,332.60,229.10
1984-08-01 00:00:00,102.00,80.10
1984-09-01 00:00:00,289.00,336.10
1984-10-01 00:00:00,208.60,366.10
1984-11-01 00:00:00,438.30,694.00
1984-12-01 00:00:00,111.90,150.70
1985-01-01 00:00:00,55.80,98.40
1985-02-01 00:00:00,54.20,66.00
1985-03-01 00:00:00,50.90,153.80
1985-04-01 00:00:00,21.40,97.70
1985-05-01 00:00:00,22.40,91.80
1985-06-01 00:00:00,54.60,59.10
1985-07-01 00:00:00,137.90,188.20
1985-08-01 00:00:00,320.80,172.50
1985-09-01 00:00:00,205.60,271.10
