field,english,description,note,source,unit
indicator,Indicator,Regional demand,,,
set-name,Set Name,Jamaica,,,
blue-mountain-south,Blue Mountain South,,,"Water Resources Agency, Water Resources Master Development Plan 2012, Jamaica",Imp. MG
kingston,Kingston,,,"Water Resources Agency, Water Resources Master Development Plan 2012, Jamaica",Imp. MG
rio-cobre,Rio Cobre,,,"Water Resources Agency, Water Resources Master Development Plan 2012, Jamaica",Imp. MG
rio-minho,Rio Minho,,,"Water Resources Agency, Water Resources Master Development Plan 2012, Jamaica",Imp. MG
black-river,Black River,,,"Water Resources Agency, Water Resources Master Development Plan 2012, Jamaica",Imp. MG
carbarita-river,Carbarita River,,,"Water Resources Agency, Water Resources Master Development Plan 2012, Jamaica",Imp. MG
great-river,Great River,,,"Water Resources Agency, Water Resources Master Development Plan 2012, Jamaica",Imp. MG
martha-brae-river,Martha Brae River,,,"Water Resources Agency, Water Resources Master Development Plan 2012, Jamaica",Imp. MG
dry-harbour-mountain,Dry Harbour Mountain,,,"Water Resources Agency, Water Resources Master Development Plan 2012, Jamaica",Imp. MG
blue-mountain-north,Blue Mountain North,,,"Water Resources Agency, Water Resources Master Development Plan 2012, Jamaica",Imp. MG
