field,english,description,note,source,unit
indicator,Indicator,Water desalination plants,,,
set-name,Set Name,Saint Vincent and the Grenadines,,,
plant,Plant,,,,
capacity,Capacity,Volume,Bequia Desalination Plant is a reverse osmosis plant,,
