month,barbados
1970-01-01 00:00:00,48.26
1970-02-01 00:00:00,45.47
1970-03-01 00:00:00,48.01
1970-04-01 00:00:00,13.72
1970-05-01 00:00:00,36.58
1970-06-01 00:00:00,146.05
1970-07-01 00:00:00,216.15
1970-08-01 00:00:00,113.54
1970-09-01 00:00:00,134.37
1970-10-01 00:00:00,304.54
1970-11-01 00:00:00,177.29
1970-12-01 00:00:00,126.75
1971-01-01 00:00:00,36.83
1971-02-01 00:00:00,27.43
1971-03-01 00:00:00,60.20
1971-04-01 00:00:00,15.24
1971-05-01 00:00:00,34.80
1971-06-01 00:00:00,28.19
1971-07-01 00:00:00,47.24
1971-08-01 00:00:00,293.10
1971-09-01 00:00:00,98.30
1971-10-01 00:00:00,72.39
1971-11-01 00:00:00,308.90
1971-12-01 00:00:00,121.40
1972-01-01 00:00:00,77.98
1972-02-01 00:00:00,65.79
1972-03-01 00:00:00,40.39
1972-04-01 00:00:00,56.64
1972-05-01 00:00:00,28.19
1972-06-01 00:00:00,20.83
1972-07-01 00:00:00,79.76
1972-08-01 00:00:00,129.00
1972-09-01 00:00:00,106.20
1972-10-01 00:00:00,82.30
1972-11-01 00:00:00,82.04
1972-12-01 00:00:00,127.30
1973-01-01 00:00:00,31.75
1973-02-01 00:00:00,28.70
1973-03-01 00:00:00,70.36
1973-04-01 00:00:00,27.69
1973-05-01 00:00:00,29.72
1973-06-01 00:00:00,120.90
1973-07-01 00:00:00,49.53
1973-08-01 00:00:00,199.40
1973-09-01 00:00:00,75.69
1973-10-01 00:00:00,169.20
1973-11-01 00:00:00,197.90
1973-12-01 00:00:00,32.51
1974-01-01 00:00:00,29.46
1974-02-01 00:00:00,42.42
1974-03-01 00:00:00,34.04
1974-04-01 00:00:00,36.83
1974-05-01 00:00:00,33.27
1974-06-01 00:00:00,43.18
1974-07-01 00:00:00,32.00
1974-08-01 00:00:00,105.70
1974-09-01 00:00:00,51.56
1974-10-01 00:00:00,195.60
1974-11-01 00:00:00,196.10
1974-12-01 00:00:00,42.67
1975-01-01 00:00:00,43.18
1975-02-01 00:00:00,34.29
1975-03-01 00:00:00,35.81
1975-04-01 00:00:00,50.80
1975-05-01 00:00:00,13.46
1975-06-01 00:00:00,7.87
1975-07-01 00:00:00,28.19
1975-08-01 00:00:00,200.40
1975-09-01 00:00:00,102.10
1975-10-01 00:00:00,239.00
1975-11-01 00:00:00,266.40
1975-12-01 00:00:00,189.20
1976-01-01 00:00:00,57.66
1976-02-01 00:00:00,97.28
1976-03-01 00:00:00,29.72
1976-04-01 00:00:00,59.69
1976-05-01 00:00:00,48.51
1976-06-01 00:00:00,56.13
1976-07-01 00:00:00,93.22
1976-08-01 00:00:00,77.22
1976-09-01 00:00:00,80.52
1976-10-01 00:00:00,193.50
1976-11-01 00:00:00,70.36
1976-12-01 00:00:00,205.20
1977-01-01 00:00:00,8.89
1977-02-01 00:00:00,30.48
1977-03-01 00:00:00,9.14
1977-04-01 00:00:00,55.63
1977-05-01 00:00:00,31.24
1977-06-01 00:00:00,45.72
1977-07-01 00:00:00,78.23
1977-08-01 00:00:00,136.90
1977-09-01 00:00:00,137.40
1977-10-01 00:00:00,277.10
1977-11-01 00:00:00,94.74
1977-12-01 00:00:00,23.88
1978-01-01 00:00:00,21.08
1978-02-01 00:00:00,21.08
1978-03-01 00:00:00,66.80
1978-04-01 00:00:00,33.27
1978-05-01 00:00:00,26.16
1978-06-01 00:00:00,104.60
1978-07-01 00:00:00,97.03
1978-08-01 00:00:00,136.10
1978-09-01 00:00:00,122.90
1978-10-01 00:00:00,250.20
1978-11-01 00:00:00,115.80
1978-12-01 00:00:00,45.72
1979-01-01 00:00:00,21.80
1979-02-01 00:00:00,0.76
1979-03-01 00:00:00,68.33
1979-04-01 00:00:00,43.94
1979-05-01 00:00:00,32.00
1979-06-01 00:00:00,146.81
1979-07-01 00:00:00,164.34
1979-08-01 00:00:00,168.91
1979-09-01 00:00:00,102.62
1979-10-01 00:00:00,129.03
1979-11-01 00:00:00,171.20
1979-12-01 00:00:00,124.46
1980-01-01 00:00:00,80.01
1980-02-01 00:00:00,36.32
1980-03-01 00:00:00,33.02
1980-04-01 00:00:00,7.37
