month,national,cades-bay,christian-valley,cobbs-cross,cochrane,renfrew,dunbars,codrington,coolidge,green-castle,jolly-hill
1974-03-01 00:00:00,38.35,,19.304,,,,,,32.51,43.94,
1974-04-01 00:00:00,33.78,,46.736,,,,,,23.11,44.20,
1974-05-01 00:00:00,40.39,,22.605999999999998,,,,,,47.75,33.02,
1974-06-01 00:00:00,8.13,,16.509999999999998,,,,,,5.84,10.16,
1974-07-01 00:00:00,24.38,,39.116,,,,,,14.22,34.29,
1974-08-01 00:00:00,173.74,,149.86,,,,,,175.77,171.70,
1974-09-01 00:00:00,267.72,,256.53999999999996,,,,,,284.23,251.21,
1974-10-01 00:00:00,171.20,,197.86599999999999,,,,,,167.64,174.75,
1974-11-01 00:00:00,413.77,,354.33,,,,,,393.95,433.32,
1974-12-01 00:00:00,30.48,,20.32,,,,,,45.21,15.75,
1975-01-01 00:00:00,79.25,,114.04599999999999,,,,,,90.68,67.82,
1975-02-01 00:00:00,28.96,,34.544000000000004,,,,,,12.95,44.96,
1975-03-01 00:00:00,14.99,,6.35,,,,,,19.81,10.16,
1975-04-01 00:00:00,35.05,,35.81399999999999,,,,,,32.00,38.10,
1975-05-01 00:00:00,112.27,,152.908,,,,,,75.95,148.34,
1975-06-01 00:00:00,21.08,,18.034,,,,,,20.07,21.84,
1975-07-01 00:00:00,39.12,,39.116,,,,,,35.31,42.67,
1975-08-01 00:00:00,94.23,,83.31199999999998,,,,,,87.63,100.84,
1975-09-01 00:00:00,132.08,,85.598,,,,,,145.03,119.13,
1975-10-01 00:00:00,132.59,,184.404,,,,,,122.94,142.24,
1975-11-01 00:00:00,169.67,,145.034,,,,,,143.00,196.34,
1975-12-01 00:00:00,149.61,,177.546,,,,,,141.48,157.48,
1976-01-01 00:00:00,56.90,,65.024,,47.751999999999995,,,,44.70,69.09,
1976-02-01 00:00:00,90.17,,76.19999999999999,,33.019999999999996,,,,76.96,103.38,
1976-03-01 00:00:00,57.40,,67.30999999999999,,5.588,,,,53.59,60.96,
1976-04-01 00:00:00,39.37,,62.230000000000004,,30.225999999999996,,,,18.54,59.94,
1976-05-01 00:00:00,36.32,,54.864,,95.758,,,,22.61,50.04,
1976-06-01 00:00:00,51.56,,54.864,,8.382,,,,34.04,68.83,
1976-07-01 00:00:00,15.75,,33.019999999999996,,24.637999999999998,,,,19.05,12.19,
