year,total
1996.00,17605.66
1997.00,20968.32
1998.00,22350.39
1999.00,22903.83
2000.00,21956.43
2001.00,20646.51
2002.00,20917.73
2003.00,21189.39
2004.00,20837.44
2005.00,20768.53
2006.00,20967.01
2007.00,21956.47
2008.00,19944.90
