month,national
1970-01-01 00:00:00,171.00
1970-02-01 00:00:00,70.00
1970-03-01 00:00:00,53.00
1970-04-01 00:00:00,67.00
1970-05-01 00:00:00,330.00
1970-06-01 00:00:00,163.00
1970-07-01 00:00:00,216.00
1970-08-01 00:00:00,185.00
1970-09-01 00:00:00,235.00
1970-10-01 00:00:00,231.00
1970-11-01 00:00:00,335.00
1970-12-01 00:00:00,111.00
1971-01-01 00:00:00,84.00
1971-02-01 00:00:00,124.00
1971-03-01 00:00:00,88.00
1971-04-01 00:00:00,151.00
1971-05-01 00:00:00,100.00
1971-06-01 00:00:00,85.00
1971-07-01 00:00:00,100.00
1971-08-01 00:00:00,237.00
1971-09-01 00:00:00,137.00
1971-10-01 00:00:00,231.00
1971-11-01 00:00:00,239.00
1971-12-01 00:00:00,75.00
1972-01-01 00:00:00,38.00
1972-02-01 00:00:00,96.00
1972-03-01 00:00:00,124.00
1972-04-01 00:00:00,159.00
1972-05-01 00:00:00,197.00
1972-06-01 00:00:00,155.00
1972-07-01 00:00:00,116.00
1972-08-01 00:00:00,145.00
1972-09-01 00:00:00,201.00
1972-10-01 00:00:00,222.00
1972-11-01 00:00:00,89.00
1972-12-01 00:00:00,214.00
1973-01-01 00:00:00,113.00
1973-02-01 00:00:00,89.00
1973-03-01 00:00:00,97.00
1973-04-01 00:00:00,127.00
1973-05-01 00:00:00,88.00
1973-06-01 00:00:00,158.00
1973-07-01 00:00:00,132.00
1973-08-01 00:00:00,215.00
1973-09-01 00:00:00,218.00
1973-10-01 00:00:00,483.00
1973-11-01 00:00:00,108.00
1973-12-01 00:00:00,219.00
1974-01-01 00:00:00,85.00
1974-02-01 00:00:00,169.00
1974-03-01 00:00:00,117.00
1974-04-01 00:00:00,123.00
1974-05-01 00:00:00,107.00
1974-06-01 00:00:00,92.00
1974-07-01 00:00:00,108.00
1974-08-01 00:00:00,228.00
1974-09-01 00:00:00,285.00
1974-10-01 00:00:00,277.00
1974-11-01 00:00:00,187.00
1974-12-01 00:00:00,97.00
1975-01-01 00:00:00,65.00
1975-02-01 00:00:00,22.00
1975-03-01 00:00:00,56.00
1975-04-01 00:00:00,57.00
1975-05-01 00:00:00,140.00
1975-06-01 00:00:00,95.00
1975-07-01 00:00:00,155.00
1975-08-01 00:00:00,177.00
1975-09-01 00:00:00,245.00
1975-10-01 00:00:00,205.00
1975-11-01 00:00:00,300.00
1975-12-01 00:00:00,86.00
1976-01-01 00:00:00,132.00
1976-02-01 00:00:00,69.00
1976-03-01 00:00:00,79.00
1976-04-01 00:00:00,136.00
1976-05-01 00:00:00,79.00
1976-06-01 00:00:00,128.00
1976-07-01 00:00:00,56.00
1976-08-01 00:00:00,143.00
1976-09-01 00:00:00,131.00
1976-10-01 00:00:00,192.00
1976-11-01 00:00:00,107.00
1976-12-01 00:00:00,71.00
1977-01-01 00:00:00,66.00
1977-02-01 00:00:00,72.00
1977-03-01 00:00:00,19.00
1977-04-01 00:00:00,218.00
1977-05-01 00:00:00,356.00
1977-06-01 00:00:00,75.00
1977-07-01 00:00:00,99.00
1977-08-01 00:00:00,186.00
1977-09-01 00:00:00,173.00
1977-10-01 00:00:00,188.00
1977-11-01 00:00:00,136.00
1977-12-01 00:00:00,189.00
1978-01-01 00:00:00,162.00
1978-02-01 00:00:00,109.00
1978-03-01 00:00:00,151.00
1978-04-01 00:00:00,162.00
1978-05-01 00:00:00,217.00
1978-06-01 00:00:00,141.00
1978-07-01 00:00:00,102.00
1978-08-01 00:00:00,177.00
1978-09-01 00:00:00,158.00
1978-10-01 00:00:00,317.00
1978-11-01 00:00:00,184.00
1978-12-01 00:00:00,56.00
1979-01-01 00:00:00,41.00
1979-02-01 00:00:00,168.00
1979-03-01 00:00:00,93.00
1979-04-01 00:00:00,299.00
1979-05-01 00:00:00,218.00
1979-06-01 00:00:00,389.00
1979-07-01 00:00:00,178.00
1979-08-01 00:00:00,169.00
1979-09-01 00:00:00,498.00
1979-10-01 00:00:00,213.00
1979-11-01 00:00:00,166.00
1979-12-01 00:00:00,110.00
1980-01-01 00:00:00,133.00
1980-02-01 00:00:00,54.00
1980-03-01 00:00:00,53.00
1980-04-01 00:00:00,118.00
1980-05-01 00:00:00,205.00
1980-06-01 00:00:00,125.00
1980-07-01 00:00:00,119.00
1980-08-01 00:00:00,198.00
1980-09-01 00:00:00,209.00
1980-10-01 00:00:00,183.00
1980-11-01 00:00:00,154.00
1980-12-01 00:00:00,290.00
1981-01-01 00:00:00,78.00
1981-02-01 00:00:00,99.00
1981-03-01 00:00:00,76.00
1981-04-01 00:00:00,69.00
1981-05-01 00:00:00,251.00
1981-06-01 00:00:00,231.00
1981-07-01 00:00:00,140.00
1981-08-01 00:00:00,255.00
1981-09-01 00:00:00,136.00
1981-10-01 00:00:00,262.00
1981-11-01 00:00:00,208.00
1981-12-01 00:00:00,114.00
1982-01-01 00:00:00,101.00
1982-02-01 00:00:00,90.00
1982-03-01 00:00:00,41.00
1982-04-01 00:00:00,93.00
1982-05-01 00:00:00,334.00
1982-06-01 00:00:00,109.00
1982-07-01 00:00:00,110.00
1982-08-01 00:00:00,109.00
1982-09-01 00:00:00,211.00
1982-10-01 00:00:00,158.00
1982-11-01 00:00:00,131.00
1982-12-01 00:00:00,82.00
1983-01-01 00:00:00,73.00
1983-02-01 00:00:00,90.00
1983-03-01 00:00:00,35.00
1983-04-01 00:00:00,167.00
1983-05-01 00:00:00,317.00
