month,east-belt,west-belt,tobago
1970-01-01 00:00:00,165.00,79.00,84.00
1970-02-01 00:00:00,112.00,56.00,74.00
1970-03-01 00:00:00,104.00,51.00,48.00
1970-04-01 00:00:00,127.00,53.00,53.00
1970-05-01 00:00:00,127.00,86.00,51.00
1970-06-01 00:00:00,358.00,351.00,213.00
1970-07-01 00:00:00,353.00,284.00,203.00
1970-08-01 00:00:00,368.00,312.00,279.00
1970-09-01 00:00:00,279.00,241.00,221.00
1970-10-01 00:00:00,212.00,130.00,206.00
1970-11-01 00:00:00,272.00,224.00,272.00
1970-12-01 00:00:00,282.00,157.00,251.00
1971-01-01 00:00:00,152.00,84.00,84.00
1971-02-01 00:00:00,64.00,48.00,51.00
1971-03-01 00:00:00,104.00,53.00,76.00
1971-04-01 00:00:00,23.00,13.00,13.00
1971-05-01 00:00:00,221.00,89.00,94.00
1971-06-01 00:00:00,168.00,109.00,66.00
1971-07-01 00:00:00,295.00,226.00,178.00
1971-08-01 00:00:00,366.00,239.00,277.00
1971-09-01 00:00:00,307.00,191.00,284.00
1971-10-01 00:00:00,610.00,315.00,366.00
1971-11-01 00:00:00,414.00,236.00,173.00
1971-12-01 00:00:00,198.00,127.00,127.00
1972-01-01 00:00:00,381.00,201.00,119.00
1972-02-01 00:00:00,124.00,48.00,66.00
1972-03-01 00:00:00,168.00,107.00,142.00
1972-04-01 00:00:00,155.00,127.00,81.00
1972-05-01 00:00:00,229.00,122.00,104.00
1972-06-01 00:00:00,213.00,107.00,104.00
1972-07-01 00:00:00,340.00,213.00,175.00
1972-08-01 00:00:00,208.00,120.00,102.00
1972-09-01 00:00:00,137.00,122.00,124.00
1972-10-01 00:00:00,226.00,165.00,183.00
1972-11-01 00:00:00,224.00,114.00,262.00
1972-12-01 00:00:00,264.00,91.00,211.00
1973-01-01 00:00:00,53.00,23.00,46.00
1973-02-01 00:00:00,41.00,28.00,56.00
1973-03-01 00:00:00,23.00,5.00,15.00
1973-04-01 00:00:00,58.00,46.00,41.00
1973-05-01 00:00:00,61.00,30.00,46.00
1973-06-01 00:00:00,152.00,117.00,124.00
1973-07-01 00:00:00,180.00,124.00,86.00
1973-08-01 00:00:00,457.00,295.00,297.00
1973-09-01 00:00:00,269.00,180.00,254.00
1973-10-01 00:00:00,457.00,208.00,292.00
1973-11-01 00:00:00,358.00,218.00,325.00
1973-12-01 00:00:00,253.00,157.00,206.00
1974-01-01 00:00:00,175.00,102.00,147.00
1974-02-01 00:00:00,94.00,48.00,56.00
1974-03-01 00:00:00,112.00,61.00,119.00
1974-04-01 00:00:00,61.00,28.00,23.00
1974-05-01 00:00:00,79.00,41.00,97.00
1974-06-01 00:00:00,117.00,58.00,163.00
1974-07-01 00:00:00,292.00,188.00,130.00
1974-08-01 00:00:00,295.00,226.00,180.00
1974-09-01 00:00:00,183.00,165.00,150.00
1974-10-01 00:00:00,351.00,226.00,201.00
1974-11-01 00:00:00,249.00,152.00,229.00
1974-12-01 00:00:00,160.00,127.00,91.00
1975-01-01 00:00:00,74.00,43.00,56.00
1975-02-01 00:00:00,94.00,38.00,79.00
1975-03-01 00:00:00,66.00,25.00,119.00
1975-04-01 00:00:00,99.00,33.00,102.00
1975-05-01 00:00:00,137.00,69.00,38.00
1975-06-01 00:00:00,196.00,137.00,64.00
1975-07-01 00:00:00,178.00,147.00,124.00
1975-08-01 00:00:00,282.00,312.00,226.00
1975-09-01 00:00:00,229.00,188.00,264.00
1975-10-01 00:00:00,396.00,208.00,345.00
1975-11-01 00:00:00,307.00,178.00,366.00
1975-12-01 00:00:00,566.00,312.00,384.00
1976-01-01 00:00:00,124.00,74.00,64.00
1976-02-01 00:00:00,155.00,58.00,71.00
1976-03-01 00:00:00,124.00,58.00,71.00
1976-04-01 00:00:00,105.00,48.00,89.00
1976-05-01 00:00:00,130.00,56.00,33.00
1976-06-01 00:00:00,366.00,224.00,249.00
1976-07-01 00:00:00,335.00,244.00,173.00
1976-08-01 00:00:00,160.00,127.00,135.00
1976-09-01 00:00:00,147.00,147.00,140.00
1976-10-01 00:00:00,99.00,109.00,140.00
1976-11-01 00:00:00,239.00,198.00,130.00
1976-12-01 00:00:00,338.00,147.00,340.00
1977-01-01 00:00:00,81.00,46.00,48.00
1977-02-01 00:00:00,38.00,15.00,38.00
1977-03-01 00:00:00,66.00,38.00,25.00
1977-04-01 00:00:00,61.00,46.00,71.00
1977-05-01 00:00:00,119.00,51.00,61.00
1977-06-01 00:00:00,368.00,277.00,201.00
1977-07-01 00:00:00,206.00,178.00,130.00
1977-08-01 00:00:00,312.00,226.00,196.00
1977-09-01 00:00:00,213.00,150.00,130.00
1977-10-01 00:00:00,134.00,163.00,234.00
1977-11-01 00:00:00,173.00,86.00,168.00
1977-12-01 00:00:00,112.00,71.00,89.00
1978-01-01 00:00:00,84.00,30.00,97.00
1978-02-01 00:00:00,25.00,13.00,18.00
1978-03-01 00:00:00,53.00,25.00,28.00
1978-04-01 00:00:00,43.00,33.00,30.00
1978-05-01 00:00:00,234.00,178.00,117.00
1978-06-01 00:00:00,333.00,277.00,287.00
1978-07-01 00:00:00,333.00,277.00,287.00
1978-08-01 00:00:00,282.00,234.00,175.00
1978-09-01 00:00:00,251.00,196.00,107.00
1978-10-01 00:00:00,257.00,150.00,206.00
1978-11-01 00:00:00,196.00,119.00,185.00
1978-12-01 00:00:00,231.00,147.00,76.00
1979-01-01 00:00:00,34.00,22.00,28.00
1979-02-01 00:00:00,33.00,22.00,32.00
1979-03-01 00:00:00,127.00,46.00,119.00
1979-04-01 00:00:00,84.00,48.00,90.00
1979-05-01 00:00:00,77.00,77.00,119.00
1979-06-01 00:00:00,322.00,261.00,215.00
1979-07-01 00:00:00,434.00,276.00,297.00
1979-08-01 00:00:00,205.00,146.00,219.00
1979-09-01 00:00:00,313.00,225.00,245.00
1979-10-01 00:00:00,215.00,211.00,204.00
