year,national
1970.00,1266.19
1979.00,1727.00
1980.00,1879.09
1981.00,1091.00
1982.00,1171.00
1983.00,1613.00
1984.00,1510.00
1985.00,1457.00
1986.00,1054.00
1987.00,1701.00
1988.00,1563.00
1989.00,1348.00
1990.00,1392.43
1991.00,1651.00
1992.00,1112.00
1993.00,1376.00
1994.00,1151.00
1995.00,2020.32
1996.00,1501.00
1997.00,1616.96
1998.00,1189.23
1999.00,1287.27
2000.00,1395.48
2001.00,1871.00
2002.00,1537.00
2003.00,1204.00
2004.00,1280.00
2005.00,1536.00
2006.00,1144.00
