month,total
2001-01-01 00:00:00,70.897345
2001-02-01 00:00:00,56.161509
2001-03-01 00:00:00,62.591817
2001-04-01 00:00:00,66.520291
2001-05-01 00:00:00,60.775392
2001-06-01 00:00:00,69.308317
2001-07-01 00:00:00,62.5659
2001-08-01 00:00:00,70.699504
2001-09-01 00:00:00,63.802477
2001-10-01 00:00:00,52.197621
2001-11-01 00:00:00,65.578574
2001-12-01 00:00:00,46.214739
2002-01-01 00:00:00,53.339588
2002-02-01 00:00:00,70.181492
2002-03-01 00:00:00,59.052047
2002-04-01 00:00:00,61.786628
2002-05-01 00:00:00,59.234361
2002-06-01 00:00:00,68.564155
2002-07-01 00:00:00,54.057859
2002-08-01 00:00:00,72.991695
2002-09-01 00:00:00,53.906088
2002-10-01 00:00:00,54.574946
2002-11-01 00:00:00,59.785837
2002-12-01 00:00:00,51.742289
2003-01-01 00:00:00,60.29697
2003-02-01 00:00:00,67.272636
2003-03-01 00:00:00,51.379044
2003-04-01 00:00:00,61.918792
2003-05-01 00:00:00,59.260388
2003-06-01 00:00:00,55.224298
2003-07-01 00:00:00,50.901523
2003-08-01 00:00:00,55.130786
2003-09-01 00:00:00,47.929523
2003-10-01 00:00:00,50.326217
2003-11-01 00:00:00,50.895093
2003-12-01 00:00:00,53.459882
2004-01-01 00:00:00,51.940795
2004-02-01 00:00:00,55.512282
2004-03-01 00:00:00,51.694013
2004-04-01 00:00:00,61.276306
2004-05-01 00:00:00,69.436157
2004-06-01 00:00:00,51.003444
2004-07-01 00:00:00,54.970501
2004-08-01 00:00:00,61.377722
2004-09-01 00:00:00,53.176781
2004-10-01 00:00:00,56.633001
2004-11-01 00:00:00,52.610545
2004-12-01 00:00:00,53.045554
2005-01-01 00:00:00,63.723715
2005-02-01 00:00:00,64.568839
2005-03-01 00:00:00,55.17065
2005-04-01 00:00:00,61.276306
2005-05-01 00:00:00,69.436157
2005-06-01 00:00:00,73.860434
2005-07-01 00:00:00,60.529694
2005-08-01 00:00:00,66.952423
2005-09-01 00:00:00,56.618756
2005-10-01 00:00:00,56.72741
2005-11-01 00:00:00,68.506553
2005-12-01 00:00:00,91.551871
2006-01-01 00:00:00,79.381912
2006-02-01 00:00:00,74.788795
2006-03-01 00:00:00,66.304335
2006-04-01 00:00:00,74.334474
2006-05-01 00:00:00,71.322908
2006-06-01 00:00:00,70.653704
2006-07-01 00:00:00,64.127298
2006-08-01 00:00:00,70.894235
2006-09-01 00:00:00,66.69754
2006-10-01 00:00:00,71.159716
2006-11-01 00:00:00,79.625536
2006-12-01 00:00:00,64.257961
2007-01-01 00:00:00,74.036336
2007-02-01 00:00:00,74.036336
2007-03-01 00:00:00,91.456854
2007-04-01 00:00:00,79.22569
2007-05-01 00:00:00,65.109057
2007-06-01 00:00:00,72.426514
2007-07-01 00:00:00,68.75151
2007-08-01 00:00:00,72.42713
2007-09-01 00:00:00,72.028868
2007-10-01 00:00:00,72.46081
2007-11-01 00:00:00,74.928002
2007-12-01 00:00:00,78.263944
2008-01-01 00:00:00,77.878387
2008-02-01 00:00:00,77.056598
2008-03-01 00:00:00, 
2008-04-01 00:00:00,87.327624
2008-05-01 00:00:00,82.126522
2008-06-01 00:00:00,90.784114
2008-07-01 00:00:00,84.884503
2008-08-01 00:00:00,94.98196
2008-09-01 00:00:00,80.117611
2008-10-01 00:00:00, 
2008-11-01 00:00:00, 
2008-12-01 00:00:00, 
2009-01-01 00:00:00,99.25719
2009-02-01 00:00:00,88.622834
2009-03-01 00:00:00,92.820344
2009-04-01 00:00:00,96.570938
2009-05-01 00:00:00,109.02875
2009-06-01 00:00:00,81.351062
2009-07-01 00:00:00,84.288189
2009-08-01 00:00:00,102.934531
2009-09-01 00:00:00,85.75354
2010-01-01 00:00:00,92.899548
2010-02-01 00:00:00,77.164222
2010-03-01 00:00:00,75.053138
2010-04-01 00:00:00,89.547447
2010-05-01 00:00:00,73.135254
2010-07-01 00:00:00,74.279369
2010-08-01 00:00:00,83.029789
2010-09-01 00:00:00,72.500553
2010-10-01 00:00:00,74.611868
2010-11-01 00:00:00,74.143312
2010-12-01 00:00:00,85.979618
2011-01-01 00:00:00,83.874667
2010-02-01 00:00:00,78.87614
2010-03-01 00:00:00,89.973121
2010-04-01 00:00:00,97.541274
2010-05-01 00:00:00,84.394922
2010-06-01 00:00:00,73.824822
2010-07-01 00:00:00,89.947405
2010-08-01 00:00:00,89.947405
2010-09-01 00:00:00,66.707038
2010-10-01 00:00:00,77.071276
2010-11-01 00:00:00,73.172961
2010-12-01 00:00:00,66.91598
