field,english,description,note,source,unit
indicator,Indicator,Regional demand,,,
set-name,Set Name,Suriname,,,
paramaribo,Paramaribo,,,"Suriname Water supply Masterplan, 2011",Imp. MG
wanica,Wanica,,,"Suriname Water supply Masterplan, 2011",Imp. MG
nickerie,Nickerie,,,"Suriname Water supply Masterplan, 2011",Imp. MG
coronie,Coronie,,,"Suriname Water supply Masterplan, 2011",Imp. MG
saramacca,Saramacca,,,"Suriname Water supply Masterplan, 2011",Imp. MG
commewijne,Commewijne,,,"Suriname Water supply Masterplan, 2011",Imp. MG
para,Para,,,"Suriname Water supply Masterplan, 2011",Imp. MG
marowijne,Marowijne,,,"Suriname Water supply Masterplan, 2011",Imp. MG
brokopondo,Brokopondo,,,"Suriname Water supply Masterplan, 2011",Imp. MG
sipaliwini,Sipaliwini,,,"Suriname Water supply Masterplan, 2011",Imp. MG
