month,george-f-l-charles-airport,hewanorra-international-airport
1983-03-01 00:00:00,38.60,20.7
1983-04-01 00:00:00,22.70,13.6
1983-05-01 00:00:00,238.70,227.3
1983-06-01 00:00:00,169.50,102
1983-07-01 00:00:00,278.00,185.5
1983-08-01 00:00:00,273.20,173.1
1983-09-01 00:00:00,160.20,155.9
1983-10-01 00:00:00,178.90,148.5
1983-11-01 00:00:00,168.70,83.4
1983-12-01 00:00:00,109.70,127.2
1984-01-01 00:00:00,120.90,49.5
1984-02-01 00:00:00,50.30,34.7
1984-03-01 00:00:00,41.90,61
1984-04-01 00:00:00,24.40,25.3
1984-05-01 00:00:00,70.20,32.4
1984-06-01 00:00:00,177.00,91.6
1984-07-01 00:00:00,381.60,301.6
1984-08-01 00:00:00,137.90,71.2
1984-09-01 00:00:00,210.70,119.4
1984-10-01 00:00:00,200.40,266.5
1984-11-01 00:00:00,294.40,269
1984-12-01 00:00:00,93.50,43.8
1985-01-01 00:00:00,118.00,65.5
1985-02-01 00:00:00,66.60,53.9
1985-03-01 00:00:00,81.00,52.2
1985-04-01 00:00:00,58.30,81.3
1985-05-01 00:00:00,63.20,43.3
1985-06-01 00:00:00,45.50,56.9
1985-07-01 00:00:00,190.00,161.6
1985-08-01 00:00:00,185.00,146.6
1985-09-01 00:00:00,193.40,115.5
1985-10-01 00:00:00,315.00,322.6
1985-11-01 00:00:00,186.20,191.9
1985-12-01 00:00:00,96.70,71.1
1986-01-01 00:00:00,109.50,92.3
1986-02-01 00:00:00,38.00,38.3
1986-03-01 00:00:00,89.00,48.7
1986-04-01 00:00:00,64.50,52.4
1986-05-01 00:00:00,155.70,67.1
1986-06-01 00:00:00,134.90,90.4
1986-07-01 00:00:00,116.60,117.8
1986-08-01 00:00:00,241.70,115.3
1986-09-01 00:00:00,328.20,288.5
1986-10-01 00:00:00,164.80,120.1
1986-11-01 00:00:00,397.30,223.7
1986-12-01 00:00:00,118.30,111.6
1987-01-01 00:00:00,56.50,33.7
1987-02-01 00:00:00,17.70,35.4
1987-03-01 00:00:00,12.30,17
1987-04-01 00:00:00,7.90,6.4
1987-05-01 00:00:00,324.90,146.7
1987-06-01 00:00:00,224.60,150.8
1987-07-01 00:00:00,189.50,77.2
1987-08-01 00:00:00,371.40,166.8
1987-09-01 00:00:00,229.70,136.2
1987-10-01 00:00:00,353.50,116.9
1987-11-01 00:00:00,383.40,239.5
1987-12-01 00:00:00,108.50,127.2
1988-01-01 00:00:00,83.30,63.6
1988-02-01 00:00:00,98.70,74.9
1988-03-01 00:00:00,36.70,46.8
1988-04-01 00:00:00,45.70,33.5
1988-05-01 00:00:00,52.30,35.1
1988-06-01 00:00:00,147.10,134.3
1988-07-01 00:00:00,185.00,169.2
1988-08-01 00:00:00,222.10,140.1
1988-09-01 00:00:00,532.30,371.5
1988-10-01 00:00:00,357.10,278.1
1988-11-01 00:00:00,185.50,167.7
1988-12-01 00:00:00,94.90,33.6
1989-01-01 00:00:00,114.10,67.4
