field,english,description,note,source,unit
indicator,Indicator,Water usage,,,
set-name,Set Name,Saint Kitts and Nevis,,,
surface,Surface,Volume,,"Water Services Department, Jamaica",Imp. MG
ground,Ground,Volume,,,Imp. MG
