month,station-gonaïves,station-juvénat-(p.v),station-daien,station-delas,station-port-au-prince,station-saint-arc,station-cap-haitien,station-ouanainthe,station-jacel,station-la-vallée-de-jacel,station-cayes
1974-05-01 00:00:00,81.00,107.50,152.10,132.10,159.00,183.40,146.80,154.4,231.90,218.70,226.5
1974-06-01 00:00:00,173.00,105.60,8.00,48.30,67.30,145.70,29.60,113,97.20,113.60,60
1974-07-01 00:00:00,45.30,71.80,64.80,45.00,66.80,130.60,51.70,108.2,59.40,88.00,79.2
1974-08-01 00:00:00,64.50,70.30,50.60,40.10,24.80,95.10,50.50,107,79.70,156.10,129.9
1974-09-01 00:00:00,46.00,264.20,185.90,241.90,224.90,233.10,13.30,189.9,275.50,417.10,333
1974-10-01 00:00:00,104.60,369.30,178.40,260.20,248.60,246.30,250.90,86.5,180.40,176.30,158.9
1974-11-01 00:00:00,20.30,46.30,55.70,70.40,83.00,13.80,224.20,95.6,108.70,118.80,132.6
1974-12-01 00:00:00,15.00,32.70,31.90,52.20,24.10,55.10,210.80,71,12.90,19.50,46.5
1975-01-01 00:00:00,0.00,0.00,0.00,1.60,0.70,0.00,13.10,0,2.50,5.10,23
1975-02-01 00:00:00,14.50,16.90,24.00,22.20,31.40,0.00,12.20,0,41.00,35.90,127.4
1975-03-01 00:00:00,0.00,24.90,65.00,25.80,64.60,34.50,76.20,49,42.90,21.80,44.5
1975-04-01 00:00:00,0.00,221.80,49.60,137.40,149.90,0.00,14.80,13.5,175.30,62.10,167.9
1975-05-01 00:00:00,0.00,211.60,133.80,179.60,218.20,41.90,58.50,48.3,310.10,237.30,115.3
1975-06-01 00:00:00,93.00,123.00,30.00,73.00,28.20,237.30,109.00,213,129.30,112.60,71.6
1975-07-01 00:00:00,55.30,35.60,25.80,57.50,37.70,236.00,34.90,102.5,166.70,65.40,44.8
1975-08-01 00:00:00,54.30,109.90,126.10,93.90,90.20,165.10,18.40,78.5,157.00,154.30,106.8
1975-09-01 00:00:00,172.70,124.70,78.10,68.00,86.00,181.20,121.30,223,157.20,269.60,443.8
1975-10-01 00:00:00,85.90,165.70,137.70,166.70,161.50,83.80,84.60,103.8,122.70,135.50,140.3
1975-11-01 00:00:00,8.50,156.50,143.60,199.40,215.90,30.20,316.30,144,120.40,195.60,87.8
1975-12-01 00:00:00,2.70,15.00,47.20,45.60,59.30,47.30,149.00,59.2,50.30,93.70,73.3
1976-01-01 00:00:00,0.00,54.50,49.50,33.40,34.70,1.00,15.40,1.2,44.00,29.40,58.4
1976-02-01 00:00:00,1.00,32.70,11.10,17.80,29.90,7.50,21.30,14,35.20,22.30,242.6
