field,english,description,note,source,unit
indicator,Indicator,Groundwater,,,
set-name,Set Name,Cuba,,,
pinar-del-río,Pinar del Río,Volume,"Has remained constant, on average, until 2006.",Instituto Nacional de Recursos Hidráulicos: INRH (2011) Disponibilidad de agua en el país. (National Institute of Hydraulics  Resources: NIHR: (2011) National water availability.) | Instituto Nacional de Recursos Hidráulicos: INRH (2007) Disponibilidad de agua superficial por provincias. (National Institute of Hydraulics Resources: NIHR: (2007) Water surface availability per province.) | Instituto Nacional de Recursos Hidráulicos: INRH (2007) Disponibilidad de agua subterránea por provincias. (National Institute of Hydraulics Resources: NIHR: (2007) Water gound availability per province.),mcm
la-habana,La Habana,Volume,,Instituto Nacional de Recursos Hidráulicos: INRH (2011) Disponibilidad de agua en el país. (National Institute of Hydraulics  Resources: NIHR: (2011) National water availability.) | Instituto Nacional de Recursos Hidráulicos: INRH (2007) Disponibilidad de agua superficial por provincias. (National Institute of Hydraulics Resources: NIHR: (2007) Water surface availability per province.) | Instituto Nacional de Recursos Hidráulicos: INRH (2007) Disponibilidad de agua subterránea por provincias. (National Institute of Hydraulics Resources: NIHR: (2007) Water gound availability per province.),mcm
ciudad-de-la-habana,Ciudad de La Habana,Volume,,Instituto Nacional de Recursos Hidráulicos: INRH (2011) Disponibilidad de agua en el país. (National Institute of Hydraulics  Resources: NIHR: (2011) National water availability.) | Instituto Nacional de Recursos Hidráulicos: INRH (2007) Disponibilidad de agua superficial por provincias. (National Institute of Hydraulics Resources: NIHR: (2007) Water surface availability per province.) | Instituto Nacional de Recursos Hidráulicos: INRH (2007) Disponibilidad de agua subterránea por provincias. (National Institute of Hydraulics Resources: NIHR: (2007) Water gound availability per province.),mcm
matanzas,Matanzas,Volume,,Instituto Nacional de Recursos Hidráulicos: INRH (2011) Disponibilidad de agua en el país. (National Institute of Hydraulics  Resources: NIHR: (2011) National water availability.) | Instituto Nacional de Recursos Hidráulicos: INRH (2007) Disponibilidad de agua superficial por provincias. (National Institute of Hydraulics Resources: NIHR: (2007) Water surface availability per province.) | Instituto Nacional de Recursos Hidráulicos: INRH (2007) Disponibilidad de agua subterránea por provincias. (National Institute of Hydraulics Resources: NIHR: (2007) Water gound availability per province.),mcm
villa-clara,Villa Clara,Volume,,Instituto Nacional de Recursos Hidráulicos: INRH (2011) Disponibilidad de agua en el país. (National Institute of Hydraulics  Resources: NIHR: (2011) National water availability.) | Instituto Nacional de Recursos Hidráulicos: INRH (2007) Disponibilidad de agua superficial por provincias. (National Institute of Hydraulics Resources: NIHR: (2007) Water surface availability per province.) | Instituto Nacional de Recursos Hidráulicos: INRH (2007) Disponibilidad de agua subterránea por provincias. (National Institute of Hydraulics Resources: NIHR: (2007) Water gound availability per province.),mcm
cienfuegos,Cienfuegos,Volume,,Instituto Nacional de Recursos Hidráulicos: INRH (2011) Disponibilidad de agua en el país. (National Institute of Hydraulics  Resources: NIHR: (2011) National water availability.) | Instituto Nacional de Recursos Hidráulicos: INRH (2007) Disponibilidad de agua superficial por provincias. (National Institute of Hydraulics Resources: NIHR: (2007) Water surface availability per province.) | Instituto Nacional de Recursos Hidráulicos: INRH (2007) Disponibilidad de agua subterránea por provincias. (National Institute of Hydraulics Resources: NIHR: (2007) Water gound availability per province.),mcm
sancti-spíritus,Sancti Spíritus,Volume,,Instituto Nacional de Recursos Hidráulicos: INRH (2011) Disponibilidad de agua en el país. (National Institute of Hydraulics  Resources: NIHR: (2011) National water availability.) | Instituto Nacional de Recursos Hidráulicos: INRH (2007) Disponibilidad de agua superficial por provincias. (National Institute of Hydraulics Resources: NIHR: (2007) Water surface availability per province.) | Instituto Nacional de Recursos Hidráulicos: INRH (2007) Disponibilidad de agua subterránea por provincias. (National Institute of Hydraulics Resources: NIHR: (2007) Water gound availability per province.),mcm
ciego-de-avila,Ciego de Avila,Volume,,Instituto Nacional de Recursos Hidráulicos: INRH (2011) Disponibilidad de agua en el país. (National Institute of Hydraulics  Resources: NIHR: (2011) National water availability.) | Instituto Nacional de Recursos Hidráulicos: INRH (2007) Disponibilidad de agua superficial por provincias. (National Institute of Hydraulics Resources: NIHR: (2007) Water surface availability per province.) | Instituto Nacional de Recursos Hidráulicos: INRH (2007) Disponibilidad de agua subterránea por provincias. (National Institute of Hydraulics Resources: NIHR: (2007) Water gound availability per province.),mcm
camagüey,Camagüey,Volume,,Instituto Nacional de Recursos Hidráulicos: INRH (2011) Disponibilidad de agua en el país. (National Institute of Hydraulics  Resources: NIHR: (2011) National water availability.) | Instituto Nacional de Recursos Hidráulicos: INRH (2007) Disponibilidad de agua superficial por provincias. (National Institute of Hydraulics Resources: NIHR: (2007) Water surface availability per province.) | Instituto Nacional de Recursos Hidráulicos: INRH (2007) Disponibilidad de agua subterránea por provincias. (National Institute of Hydraulics Resources: NIHR: (2007) Water gound availability per province.),mcm
las-tunas,Las Tunas,Volume,,Instituto Nacional de Recursos Hidráulicos: INRH (2011) Disponibilidad de agua en el país. (National Institute of Hydraulics  Resources: NIHR: (2011) National water availability.) | Instituto Nacional de Recursos Hidráulicos: INRH (2007) Disponibilidad de agua superficial por provincias. (National Institute of Hydraulics Resources: NIHR: (2007) Water surface availability per province.) | Instituto Nacional de Recursos Hidráulicos: INRH (2007) Disponibilidad de agua subterránea por provincias. (National Institute of Hydraulics Resources: NIHR: (2007) Water gound availability per province.),mcm
