field,english,description,note,source,unit
indicator,Indicator,Water employment,,,
set-name,Set Name,Cuba,,,
"gas,-electricity-&-water","Gas, Electricity & Water",,,,Oficina Nacional de Estadísticas: ONE (2011). Series Estadísticas 1985 - 2010. 7. Empleo y Salarios. 7.3  Ocupados por clase de actividad económica. (National Statistics Office: NSO (2011). Statistical Time Series 1985-2010. Series 7: Work Force and Salaries. Sub-series 7.4 Workers employed in each economic activity.)
