year,value
1996,17605.659
1997,20968.325
1998,22350.390
1999,22903.832
2000,21956.426
2001,20646.510
2002,20917.732
2003,21189.394
2004,20837.443
2005,20768.527
2006,20967.005
2007,21956.470
2008,19944.897
