field,english,description,note,source,unit
indicator,Indicator,Water employment,,,
set-name,Set Name,Trinidad and Tobago,,,
water-sector,Water Sector,,3210,Permanent Workers in the Water and Sewerage Authority of Trinidad and Tobago,Annual WASA Reports 1970-1982
