field,english,description,note,source,unit
indicator,Indicator,Water employment,,,
set-name,Set Name,Suriname,,,
water-sector,Water Sector,,,,"Sectoral Analysis of Drinking Water Supply and Sanitation in Suriname, Paramaribo, "
