year,value
1990,2933
1991,2933
1992,2933
1993,2933
1994,2933
1995,2998
1996,2997
1997,2997
1998,3004
1999,3000
2000,3001
2001,3001
2002,3001
2003,3001
2004,3001
2005,3006
2006,3006
2007,3006
2008,3006
2009,3006
2010,3006
