field,english,description,note,source,unit
indicator,Indicator,Reservoirs,,,
set-name,Set Name,Trinidad and Tobago,,,
reservoir,Reservoir,,,,Name
capacity,Capacity,Capacity ,,Public Education Centre Water & Sewerage Authority. 2012. Reservoirs in Trinidad & Tobago. Trinidad & Tobago: WASA.,MG
