year,pinar-del-río,la-habana,la-habana(ant-c-habana),matanzas,villa-clara,cienfuegos,sancti-spíritus,ciego-de-ávila,camagüey,las-tunas,holguín,granma,santiago-de-cuba,guantánamo,isla-de-la-juventud
1990.00,302764.51,330762.29,73250.01,302200.29,201490.32,153416.98,263976.10,214234.28,314557.10,79676.43,113386.84,326053.83,158195.82,63092.90,36275.25
1991.00,302764.51,330762.29,73250.01,302200.29,201490.32,153416.98,263976.10,214234.28,314557.10,79676.43,113386.84,326053.83,158195.82,63092.90,36275.25
1992.00,302764.51,330762.29,73250.01,302200.29,201490.32,153416.98,263976.10,214234.28,314557.10,79676.43,113386.84,326053.83,158195.82,63092.90,36275.25
1993.00,302764.51,330762.29,73250.01,302200.29,201490.32,153416.98,263976.10,214234.28,314557.10,79676.43,113386.84,326053.83,158195.82,63092.90,36275.25
1994.00,302764.51,330762.29,73250.01,302200.29,201490.32,153416.98,263976.10,214234.28,314557.10,79676.43,113386.84,326053.83,158195.82,63092.90,36275.25
1995.00,331998.52,330444.43,74497.24,304993.90,207526.30,153284.99,280436.45,214608.23,318728.83,75524.50,115806.51,336810.37,154955.67,63092.90,36275.25
1996.00,331998.52,330444.43,74497.24,304993.90,207526.30,153284.99,280436.45,214608.23,318728.83,75524.50,113804.78,337360.29,154955.67,63092.90,36275.25
1997.00,331998.52,330444.43,74497.24,304993.90,207526.30,153284.99,280436.45,214608.23,318728.83,75524.50,113804.78,337360.29,154955.67,63092.90,36275.25
1998.00,335519.91,330303.74,74157.60,304915.62,235855.27,125018.85,280482.45,214606.36,318520.60,75434.95,115822.78,336806.63,156738.45,62715.43,37327.17
1999.00,334706.02,330303.74,74157.60,304915.62,235855.27,125018.85,280482.45,214606.36,316408.88,74854.23,115822.78,336806.63,156738.45,62715.43,37327.17
2000.00,335739.88,330303.74,74157.60,304915.62,235855.27,125018.85,280482.45,214606.36,316723.44,75885.89,115822.78,325368.19,156738.45,71954.17,37701.12
2001.00,335739.88,330303.74,74157.60,304915.62,235855.27,125018.85,280482.45,214606.36,316723.44,75885.89,115822.78,325368.19,156738.45,71954.17,37701.12
2002.00,335739.88,330303.74,74157.60,304915.62,235855.27,125018.85,280482.45,214606.36,316723.44,75885.89,115822.78,325368.19,156738.45,71954.17,37701.12
2003.00,335739.88,330303.74,74157.60,304915.62,235855.27,125018.85,280482.45,214606.36,316723.44,75885.89,115822.78,325368.19,156738.45,71954.17,37701.12
2004.00,335739.88,330303.74,74157.60,304915.62,235855.27,125018.85,280482.45,214606.36,316723.44,75885.89,115822.78,325368.19,156738.45,71954.17,37701.12
2005.00,336690.04,329532.39,72516.64,306831.31,228680.81,124746.00,278480.19,215062.47,322580.64,76358.98,112604.84,332211.89,159391.93,72235.97,38551.50
2006.00,336690.04,329532.39,72516.64,306831.31,228680.81,124746.00,278480.19,215062.47,322580.64,76358.98,112604.84,332211.89,159391.93,72235.97,38551.50
2007.00,336690.04,329532.39,72516.64,306831.31,228680.81,124746.00,278480.19,215062.47,322580.64,76358.98,112604.84,332211.89,159391.93,72235.97,38551.50
2008.00,336690.04,329532.39,72516.64,306831.31,228680.81,124746.00,278480.19,215062.47,322580.64,76358.98,112604.84,332211.89,159391.93,72235.97,38551.50
2009.00,336690.04,329532.39,72516.64,306831.31,228680.81,124746.00,278480.19,215062.47,322580.64,76358.98,112604.84,332211.89,159391.93,72235.97,38551.50
2010.00,336690.48,329532.66,72517.51,306831.75,124744.99,228683.01,278479.82,215062.47,322581.61,76358.19,112604.84,332211.89,159392.46,72235.95,38551.94
