year,blue-mountain-south,kingston,rio-cobre,rio-minho,black-river,cabartta-river,great-river,martha-brae-river,dry-harbour-mountain,blue-mountain-north
1990.00,912.00,208,1450.00,1641.00,1530,1019.00,863.00,673.00,1302.00,2346
2011.00,830.30,214,1034.30,1537.10,1342,970.70,826.40,713.90,1437.50,1797
