month,cultuurtuin,zorg-en-hoop,nickerie,sipaliwini,stoelanseiland,tafelberg,kwaalasaoetoe
1982-02-01 00:00:00,117.6,131,,194.2,,353.6,
1982-03-01 00:00:00,130.5,175.3,142.4,423.6,,397.5,
1982-04-01 00:00:00,289.5,270.9,198,397,,470.8,
1982-05-01 00:00:00,214.3,198.9,163.4,429.2,,429.7,
1982-06-01 00:00:00,,222.8,213.9,134.7,,246.2,
1982-07-01 00:00:00,219.7,214.2,195.8,42.9,,194.9,
1982-08-01 00:00:00,189.9,124.4,103,85.9,,68.2,
1982-09-01 00:00:00,30.7,54.8,47.5,27.3,,63.5,
1982-10-01 00:00:00,100.9,62.3,0.5,50.4,,14.8,
1982-11-01 00:00:00,27.7,29.7,35.4,16.9,,76.7,
1982-12-01 00:00:00,155.7,152.5,122.5,,,190.6,
1983-01-01 00:00:00,,143.4,64.8,31.3,114.2,,
1983-02-01 00:00:00,138.4,124.2,80.4,45.6,110.4,180.5,
1983-03-01 00:00:00,206,196.5,105.2,213.4,324.1,238.8,
1983-04-01 00:00:00,459.8,466.1,454,294.6,430.7,491.6,
1983-05-01 00:00:00,450.5,484.6,392,123.5,383.5,229.9,
1983-06-01 00:00:00,162.2,220.3,250.3,151.3,176.1,163.3,
1983-07-01 00:00:00,293.2,292,162.6,33.1,180.1,130.1,
1983-08-01 00:00:00,115.2,175.7,253.8,111.8,174,121.9,
1983-09-01 00:00:00,94.1,94.1,40.2,5.4,36.3,58.8,
1983-10-01 00:00:00,39.2,61.3,40.8,0,35.3,16.9,
1983-11-01 00:00:00,79.3,40.1,31.9,22.3,56.5,25.4,
1983-12-01 00:00:00,180.6,175.4,112,65.2,254.9,210.6,
1984-01-01 00:00:00,113.3,126.5,248.8,115,287.7,346.6,
1984-02-01 00:00:00,,,,,,193.2,
1984-03-01 00:00:00,122.9,124.3,30.7,143.2,106.5,129.2,
1984-04-01 00:00:00,77,98.4,103.7,337.9,106.8,157.2,
1984-05-01 00:00:00,228.5,316.5,325.1,587,329.3,502.4,
1984-06-01 00:00:00,272.7,275.4,271.6,185,,500.8,
1984-07-01 00:00:00,209.7,235.7,268.7,395.5,306.9,311.9,
1984-08-01 00:00:00,253.7,297.6,206.8,156.2,170.9,186.4,
1984-09-01 00:00:00,119.1,159.1,125.1,56.1,174,170.4,
1984-10-01 00:00:00,142.7,203.9,148.7,130.4,198.6,246.6,
1984-11-01 00:00:00,141,114,90.1,57.2,167.9,143.5,
1984-12-01 00:00:00,,385.3,,53.8,213.7,263.7,
1985-01-01 00:00:00,56.6,60.3,47.1,68,184.1,253.3,
1985-02-01 00:00:00,65.8,61.8,23.4,50.4,111.1,109.7,
1985-03-01 00:00:00,87.8,87.7,180.5,183.2,149.2,137.9,
1985-04-01 00:00:00,,98.5,57.7,130.6,90.1,124.6,
1985-05-01 00:00:00,245.7,264.6,118.8,361.3,279.1,537.9,
1985-06-01 00:00:00,421.3,402.2,225.5,379.9,395.1,401.4,
1985-07-01 00:00:00,254.1,240.6,144,240.5,227.5,447.7,
1985-08-01 00:00:00,159.6,116.8,254.4,223.5,210.2,152.5,
1985-09-01 00:00:00,,162.7,68.5,101.2,108.1,126.4,
1985-10-01 00:00:00,67.3,71.9,18.3,17.2,104,32.9,
1985-11-01 00:00:00,63.7,49.5,145.4,147.5,115.2,81.5,
1985-12-01 00:00:00,164.4,110,82.9,97,211.8,131.3,
1986-01-01 00:00:00,47.9,67.1,46.3,119,181.3,281.5,
1986-02-01 00:00:00,146.7,171.7,89.1,116.1,207,281.3,
1986-03-01 00:00:00,45.1,67.9,35.7,65,138.1,137.4,
1986-04-01 00:00:00,34.8,35.3,24.9,128.9,116.3,120.1,
1986-05-01 00:00:00,383.8,364.5,228.1,285.9,365.2,248,
1986-06-01 00:00:00,260.4,263.2,306.4,409.1,287.6,555.4,
1986-07-01 00:00:00,243.9,335.4,283.5,189.6,251.1,272.6,
1986-08-01 00:00:00,161.3,155.8,156.6,16.7,,56.4,
1986-09-01 00:00:00,66,68.6,15.9,48.4,,34.3,
1986-10-01 00:00:00,79.2,57.3,124.9,82,,,
1986-11-01 00:00:00,,207.9,81.9,79.1,,,
1986-12-01 00:00:00,180.2,210.8,131.7,,,,
1987-01-01 00:00:00,174.2,196.6,,,263,,
1987-02-01 00:00:00,71.8,58.9,,,124.9,,
1987-03-01 00:00:00,9.9,5.2,2.6,,62.8,,
1987-04-01 00:00:00,188.1,207.1,210.7,,274.1,,
1987-05-01 00:00:00,314.1,390.5,240.5,,290.4,,
1987-06-01 00:00:00,132.9,192.9,367.4,,244.7,,
1987-07-01 00:00:00,295,296.1,187.9,,277.9,,
1987-08-01 00:00:00,277.1,83.6,35.6,,76.8,,
1987-09-01 00:00:00,124.2,108.1,87.4,,114,,
1987-10-01 00:00:00,84.2,,56.5,,56,,
1987-11-01 00:00:00,132.4,,141.5,,,,
1989-01-01 00:00:00,346.2,,,,,,
1989-02-01 00:00:00,390.8,,,,,,
1989-03-01 00:00:00,157,,,,,,
1989-04-01 00:00:00,93.1,,,,,,
1989-05-01 00:00:00,174.4,,,,,,
1989-06-01 00:00:00,279.6,,,,,,
1989-07-01 00:00:00,383.3,,,,,,
1989-08-01 00:00:00,71.4,,,,,,
1989-09-01 00:00:00,47.6,,,,,,
1989-10-01 00:00:00,148.9,,,,,,
1989-11-01 00:00:00,120.8,,,,,,
