field,english,description,note,source,unit
indicator,Indicator,Reservoirs,,,
set-name,Set Name,Grenada,,,
reservoir,Reservoir,,,,
capacity,Capacity,Capacity ,Figures recorded in 1991,The Caribbean Conservation Association. 1991. Available at: http://pdf.usaid.gov/pdf_docs/PNABH224.pdf,MG
