year,value,source,note
1990,80676436,Economic Commission for Latin America and the Caribbean,
1991,80099859,Economic Commission for Latin America and the Caribbean,
1992,81112631,Economic Commission for Latin America and the Caribbean,
1993,84864421,Economic Commission for Latin America and the Caribbean,
1994,82380842,Economic Commission for Latin America and the Caribbean,
1995,83701894,Economic Commission for Latin America and the Caribbean,
1996,84177473,Economic Commission for Latin America and the Caribbean,
1997,87506526,Economic Commission for Latin America and the Caribbean,
1998,93794736,Economic Commission for Latin America and the Caribbean,
1999,102619368,Economic Commission for Latin America and the Caribbean,
2000,110228631,Economic Commission for Latin America and the Caribbean,
2001,126821052,Economic Commission for Latin America and the Caribbean,
2002,138657684,Economic Commission for Latin America and the Caribbean,
2003,150652842,Economic Commission for Latin America and the Caribbean,
2004,152766526,Economic Commission for Latin America and the Caribbean,
2005,150600000,Economic Commission for Latin America and the Caribbean,
2006,162648000,Economic Commission for Latin America and the Caribbean,
2007,178764842,Economic Commission for Latin America and the Caribbean,
2008,185475789,Economic Commission for Latin America and the Caribbean,
2009,150758526,Economic Commission for Latin America and the Caribbean,
2010,164616933,Economic Commission for Latin America and the Caribbean,
2011,183577261,Economic Commission for Latin America and the Caribbean,
2012,200101520,Economic Commission for Latin America and the Caribbean,
