year,value,source,note
1990,424635048,Economic Commission for Latin America and the Caribbean,
1991,379230107,Economic Commission for Latin America and the Caribbean,
1992,335312974,Economic Commission for Latin America and the Caribbean,
1993,285424505,Economic Commission for Latin America and the Caribbean,
1994,287470799,Economic Commission for Latin America and the Caribbean,
1995,294534534,Economic Commission for Latin America and the Caribbean,
1996,317622360,Economic Commission for Latin America and the Caribbean,
1997,314444267,Economic Commission for Latin America and the Caribbean,
1998,315192054,Economic Commission for Latin America and the Caribbean,
1999,312013961,Economic Commission for Latin America and the Caribbean,
2000,322109080,Economic Commission for Latin America and the Caribbean,
2001,313416061,Economic Commission for Latin America and the Caribbean,
2002,316500681,Economic Commission for Latin America and the Caribbean,
2003,352898259,Economic Commission for Latin America and the Caribbean,
2004,422686379,Economic Commission for Latin America and the Caribbean,
2005,494100000,Economic Commission for Latin America and the Caribbean,
2006,614119750,Economic Commission for Latin America and the Caribbean,
2007,609165664,Economic Commission for Latin America and the Caribbean,
2008,652443813,Economic Commission for Latin America and the Caribbean,
2009,413993359,Economic Commission for Latin America and the Caribbean,
2010,432220658,Economic Commission for Latin America and the Caribbean,
2011,569252553,Economic Commission for Latin America and the Caribbean,
2012,553268615,Economic Commission for Latin America and the Caribbean,
