year,value,source,note
1990,452230892,Economic Commission for Latin America and the Caribbean,
1991,212787497,Economic Commission for Latin America and the Caribbean,
1992,88856156,Economic Commission for Latin America and the Caribbean,
1993,89221350,Economic Commission for Latin America and the Caribbean,
1994,129545186,Economic Commission for Latin America and the Caribbean,
1995,62132989,Economic Commission for Latin America and the Caribbean,
1996,318388175,Economic Commission for Latin America and the Caribbean,
1997,426628469,Economic Commission for Latin America and the Caribbean,
1998,465053525,Economic Commission for Latin America and the Caribbean,
1999,501666161,Economic Commission for Latin America and the Caribbean,
2000,540818730,Economic Commission for Latin America and the Caribbean,
2001,569269114,Economic Commission for Latin America and the Caribbean,
2002,531466802,Economic Commission for Latin America and the Caribbean,
2003,537397556,Economic Commission for Latin America and the Caribbean,
2004,523427924,Economic Commission for Latin America and the Caribbean,
2005,515813999,Economic Commission for Latin America and the Caribbean,
2006,593164460,Economic Commission for Latin America and the Caribbean,
2007,602555554,Economic Commission for Latin America and the Caribbean,
2008,598850424,Economic Commission for Latin America and the Caribbean,
2009,535863217,Economic Commission for Latin America and the Caribbean,
2010,500259112,Economic Commission for Latin America and the Caribbean,
2011,522166770,Economic Commission for Latin America and the Caribbean,
2012,521220904,Economic Commission for Latin America and the Caribbean,
