year,value,source,note
1990,42298303,Economic Commission for Latin America and the Caribbean,
1991,42890319,Economic Commission for Latin America and the Caribbean,
1992,45865338,Economic Commission for Latin America and the Caribbean,
1993,46685195,Economic Commission for Latin America and the Caribbean,
1994,45327481,Economic Commission for Latin America and the Caribbean,
1995,50790905,Economic Commission for Latin America and the Caribbean,
1996,51985016,Economic Commission for Latin America and the Caribbean,
1997,52803394,Economic Commission for Latin America and the Caribbean,
1998,53930594,Economic Commission for Latin America and the Caribbean,
1999,58696745,Economic Commission for Latin America and the Caribbean,
2000,59108508,Economic Commission for Latin America and the Caribbean,
2001,60301941,Economic Commission for Latin America and the Caribbean,
2002,64878314,Economic Commission for Latin America and the Caribbean,
2003,71299535,Economic Commission for Latin America and the Caribbean,
2004,72248774,Economic Commission for Latin America and the Caribbean,
2005,71549522,Economic Commission for Latin America and the Caribbean,
2006,84960205,Economic Commission for Latin America and the Caribbean,
2007,89209160,Economic Commission for Latin America and the Caribbean,
2008,101749355,Economic Commission for Latin America and the Caribbean,
2009,99106198,Economic Commission for Latin America and the Caribbean,
2010,90608199,Economic Commission for Latin America and the Caribbean,
2011,86817559,Economic Commission for Latin America and the Caribbean,
2012,88532774,Economic Commission for Latin America and the Caribbean,
