year,value,source,note
1990,58427281,Economic Commission for Latin America and the Caribbean,
1991,45875917,Economic Commission for Latin America and the Caribbean,
1992,46379081,Economic Commission for Latin America and the Caribbean,
1993,45811400,Economic Commission for Latin America and the Caribbean,
1994,47336593,Economic Commission for Latin America and the Caribbean,
1995,48797327,Economic Commission for Latin America and the Caribbean,
1996,56778954,Economic Commission for Latin America and the Caribbean,
1997,62356773,Economic Commission for Latin America and the Caribbean,
1998,52859274,Economic Commission for Latin America and the Caribbean,
1999,53227204,Economic Commission for Latin America and the Caribbean,
2000,76475473,Economic Commission for Latin America and the Caribbean,
2001,70516717,Economic Commission for Latin America and the Caribbean,
2002,73489837,Economic Commission for Latin America and the Caribbean,
2003,84922727,Economic Commission for Latin America and the Caribbean,
2004,80302639,Economic Commission for Latin America and the Caribbean,
2005,95158441,Economic Commission for Latin America and the Caribbean,
2006,93698647,Economic Commission for Latin America and the Caribbean,
2007,98513820,Economic Commission for Latin America and the Caribbean,
2008,94942885,Economic Commission for Latin America and the Caribbean,
2009,82589151,Economic Commission for Latin America and the Caribbean,
2010,90802417,Economic Commission for Latin America and the Caribbean,
2011,95060356,Economic Commission for Latin America and the Caribbean,
2012,89838701,Economic Commission for Latin America and the Caribbean,
