year,value,source,note
1990,247481952,Economic Commission for Latin America and the Caribbean,
1991,254482114,Economic Commission for Latin America and the Caribbean,
1992,250705932,Economic Commission for Latin America and the Caribbean,
1993,246973567,Economic Commission for Latin America and the Caribbean,
1994,258132601,Economic Commission for Latin America and the Caribbean,
1995,288442988,Economic Commission for Latin America and the Caribbean,
1996,305330884,Economic Commission for Latin America and the Caribbean,
1997,354607827,Economic Commission for Latin America and the Caribbean,
1998,434317178,Economic Commission for Latin America and the Caribbean,
1999,390416246,Economic Commission for Latin America and the Caribbean,
2000,385135217,Economic Commission for Latin America and the Caribbean,
2001,390492232,Economic Commission for Latin America and the Caribbean,
2002,424135049,Economic Commission for Latin America and the Caribbean,
2003,406221341,Economic Commission for Latin America and the Caribbean,
2004,536499398,Economic Commission for Latin America and the Caribbean,
2005,488780168,Economic Commission for Latin America and the Caribbean,
2006,701731031,Economic Commission for Latin America and the Caribbean,
2007,748250271,Economic Commission for Latin America and the Caribbean,
2008,678954217,Economic Commission for Latin America and the Caribbean,
2009,552433498,Economic Commission for Latin America and the Caribbean,
2010,584656323,Economic Commission for Latin America and the Caribbean,
2011,460127257,Economic Commission for Latin America and the Caribbean,
2012,566209938,Economic Commission for Latin America and the Caribbean,
