key,value
name,Dominican Republic - Annual Gross Domestic Product (GDP) by activity: Taxes on products less subsidies on products [CEPALStat]
dataset,CEPALStat national accounts [2216]
description,Annual national account statistics for Dominican Republic: Taxes on products less subsidies on products
file,C:/statmart/data/facts/gen2/cepalstat/gdp-sec/taxes/gdp-sec-taxes_dom_cepalstat.csv
filehash,7428fe379d8fbe5cfdc8726c1817b256e0388840
category,Economy
type,GDP
columns,"year,value,source,notes"
