key,value
name,Aruba - Death rate associated with tuberculosis [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Death rate associated with tuberculosis [357]
description,Proportion of registered deaths caused by tuberculosis in total population during the period of one year
category,Social
type,Health
file,tb-death-rate_abw_cepalstat.csv
filehash,c731aa4ca979eb3251047d9e572c4e38565198e5
columns,"year,value,source,notes"
