year,value,source,note
1990,27827882,Economic Commission for Latin America and the Caribbean,
1991,29810240,Economic Commission for Latin America and the Caribbean,
1992,30109690,Economic Commission for Latin America and the Caribbean,
1993,30208509,Economic Commission for Latin America and the Caribbean,
1994,30711584,Economic Commission for Latin America and the Caribbean,
1995,32322625,Economic Commission for Latin America and the Caribbean,
1996,34331934,Economic Commission for Latin America and the Caribbean,
1997,36904209,Economic Commission for Latin America and the Caribbean,
1998,39362693,Economic Commission for Latin America and the Caribbean,
1999,43414251,Economic Commission for Latin America and the Caribbean,
2000,45447516,Economic Commission for Latin America and the Caribbean,
2001,45637746,Economic Commission for Latin America and the Caribbean,
2002,55982715,Economic Commission for Latin America and the Caribbean,
2003,67686393,Economic Commission for Latin America and the Caribbean,
2004,71216895,Economic Commission for Latin America and the Caribbean,
2005,72458782,Economic Commission for Latin America and the Caribbean,
2006,79951895,Economic Commission for Latin America and the Caribbean,
2007,78552032,Economic Commission for Latin America and the Caribbean,
2008,79600175,Economic Commission for Latin America and the Caribbean,
2009,78218550,Economic Commission for Latin America and the Caribbean,
2010,76984602,Economic Commission for Latin America and the Caribbean,
2011,76739721,Economic Commission for Latin America and the Caribbean,
2012,77299578,Economic Commission for Latin America and the Caribbean,
