year,value,source,note
1990,266325000,Economic Commission for Latin America and the Caribbean,
1991,261300000,Economic Commission for Latin America and the Caribbean,
1992,252023076,Economic Commission for Latin America and the Caribbean,
1993,255115384,Economic Commission for Latin America and the Caribbean,
1994,263619230,Economic Commission for Latin America and the Caribbean,
1995,269417307,Economic Commission for Latin America and the Caribbean,
1996,276375000,Economic Commission for Latin America and the Caribbean,
1997,286425000,Economic Commission for Latin America and the Caribbean,
1998,302273076,Economic Commission for Latin America and the Caribbean,
1999,314642307,Economic Commission for Latin America and the Caribbean,
2000,317348076,Economic Commission for Latin America and the Caribbean,
2001,319667307,Economic Commission for Latin America and the Caribbean,
2002,310003846,Economic Commission for Latin America and the Caribbean,
2003,319280769,Economic Commission for Latin America and the Caribbean,
2004,335515384,Economic Commission for Latin America and the Caribbean,
2005,351750000,Economic Commission for Latin America and the Caribbean,
2006,372623076,Economic Commission for Latin America and the Caribbean,
2007,395042307,Economic Commission for Latin America and the Caribbean,
2008,407025000,Economic Commission for Latin America and the Caribbean,
2009,395815384,Economic Commission for Latin America and the Caribbean,
2010,396588461,Economic Commission for Latin America and the Caribbean,
2011,399294230,Economic Commission for Latin America and the Caribbean,
2012,407798076,Economic Commission for Latin America and the Caribbean,
