key,value
name,"Barbados - Transport, storage and communications [CEPALStat]"
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,"Transport, storage and communications [2216]"
description,"Sectoral GDP: Transport, storage and communications"
category,Economic
type,GDP
file,gdp-sec--tsc_brb_cepalstat.csv
filehash,e992538ad47da5d57ed4971e91b42ff181412a5f
columns,"year,value,source,notes"
