year,value,source,note
1990,528961490,Economic Commission for Latin America and the Caribbean,
1991,542863084,Economic Commission for Latin America and the Caribbean,
1992,549030994,Economic Commission for Latin America and the Caribbean,
1993,584791040,Economic Commission for Latin America and the Caribbean,
1994,624072285,Economic Commission for Latin America and the Caribbean,
1995,589591779,Economic Commission for Latin America and the Caribbean,
1996,626497475,Economic Commission for Latin America and the Caribbean,
1997,669319870,Economic Commission for Latin America and the Caribbean,
1998,702985555,Economic Commission for Latin America and the Caribbean,
1999,735472859,Economic Commission for Latin America and the Caribbean,
2000,756430332,Economic Commission for Latin America and the Caribbean,
2001,723805531,Economic Commission for Latin America and the Caribbean,
2002,741014633,Economic Commission for Latin America and the Caribbean,
2003,783863802,Economic Commission for Latin America and the Caribbean,
2004,809679938,Economic Commission for Latin America and the Caribbean,
2005,866350764,Economic Commission for Latin America and the Caribbean,
2006,973370477,Economic Commission for Latin America and the Caribbean,
2007,1041644121,Economic Commission for Latin America and the Caribbean,
2008,1057344888,Economic Commission for Latin America and the Caribbean,
2009,944038997,Economic Commission for Latin America and the Caribbean,
2010,865571375,Economic Commission for Latin America and the Caribbean,
2011,848897226,Economic Commission for Latin America and the Caribbean,
2012,871946200,Economic Commission for Latin America and the Caribbean,
