year,value,source,note
1990,274642653,Economic Commission for Latin America and the Caribbean,
1991,279473332,Economic Commission for Latin America and the Caribbean,
1992,299012997,Economic Commission for Latin America and the Caribbean,
1993,306332119,Economic Commission for Latin America and the Caribbean,
1994,304124314,Economic Commission for Latin America and the Caribbean,
1995,325410817,Economic Commission for Latin America and the Caribbean,
1996,331464302,Economic Commission for Latin America and the Caribbean,
1997,345269996,Economic Commission for Latin America and the Caribbean,
1998,361807887,Economic Commission for Latin America and the Caribbean,
1999,376894139,Economic Commission for Latin America and the Caribbean,
2000,385202545,Economic Commission for Latin America and the Caribbean,
2001,391426186,Economic Commission for Latin America and the Caribbean,
2002,415196601,Economic Commission for Latin America and the Caribbean,
2003,445041121,Economic Commission for Latin America and the Caribbean,
2004,464990101,Economic Commission for Latin America and the Caribbean,
2005,479179137,Economic Commission for Latin America and the Caribbean,
2006,507666104,Economic Commission for Latin America and the Caribbean,
2007,521806411,Economic Commission for Latin America and the Caribbean,
2008,519938517,Economic Commission for Latin America and the Caribbean,
2009,509969410,Economic Commission for Latin America and the Caribbean,
2010,498451209,Economic Commission for Latin America and the Caribbean,
2011,500234171,Economic Commission for Latin America and the Caribbean,
2012,508105164,Economic Commission for Latin America and the Caribbean,
