year,value,source,note
1990,1513409599,Economic Commission for Latin America and the Caribbean,
1991,1561540048,Economic Commission for Latin America and the Caribbean,
1992,1552498136,Economic Commission for Latin America and the Caribbean,
1993,1444379796,Economic Commission for Latin America and the Caribbean,
1994,1388420501,Economic Commission for Latin America and the Caribbean,
1995,1428020395,Economic Commission for Latin America and the Caribbean,
1996,1438338292,Economic Commission for Latin America and the Caribbean,
1997,1466002034,Economic Commission for Latin America and the Caribbean,
1998,1499380894,Economic Commission for Latin America and the Caribbean,
1999,1458656282,Economic Commission for Latin America and the Caribbean,
2000,1551219512,Economic Commission for Latin America and the Caribbean,
2001,1635333740,Economic Commission for Latin America and the Caribbean,
2002,1649939684,Economic Commission for Latin America and the Caribbean,
2003,1794020196,Economic Commission for Latin America and the Caribbean,
2004,1938265952,Economic Commission for Latin America and the Caribbean,
2005,2081209417,Economic Commission for Latin America and the Caribbean,
2006,2198375486,Economic Commission for Latin America and the Caribbean,
2007,2312327143,Economic Commission for Latin America and the Caribbean,
2008,2407212961,Economic Commission for Latin America and the Caribbean,
2009,2504024997,Economic Commission for Latin America and the Caribbean,
2010,2606375752,Economic Commission for Latin America and the Caribbean,
2011,2726894692,Economic Commission for Latin America and the Caribbean,
2012,2853869686,Economic Commission for Latin America and the Caribbean,
