key,value
name,Cuba - Annual Gross Domestic Product (GDP) by activity: Hotels and restaurants [CEPALStat]
dataset,CEPALStat national accounts [2216]
description,Annual national account statistics for Cuba: Hotels and restaurants
file,gdp-sec-hr_cub_cepalstat.csv
filehash,589064691b95a2b5e6bce3b0bc038e0901666724
category,Economy
type,GDP
columns,"year,value,source,notes"
