year,value,source,note
2002,404529897,Economic Commission for Latin America and the Caribbean,
2003,422767766,Economic Commission for Latin America and the Caribbean,
2004,440784886,Economic Commission for Latin America and the Caribbean,
2005,459922553,Economic Commission for Latin America and the Caribbean,
2006,505902481,Economic Commission for Latin America and the Caribbean,
2007,508098791,Economic Commission for Latin America and the Caribbean,
2008,519019168,Economic Commission for Latin America and the Caribbean,
2009,529395098,Economic Commission for Latin America and the Caribbean,
2010,547186076,Economic Commission for Latin America and the Caribbean,
2011,558140376,Economic Commission for Latin America and the Caribbean,
2012,568059125,Economic Commission for Latin America and the Caribbean,
