year,value,source,note
1990,265608414,Economic Commission for Latin America and the Caribbean,
1991,285238711,Economic Commission for Latin America and the Caribbean,
1992,299249649,Economic Commission for Latin America and the Caribbean,
1993,306217655,Economic Commission for Latin America and the Caribbean,
1994,314384458,Economic Commission for Latin America and the Caribbean,
1995,263729300,Economic Commission for Latin America and the Caribbean,
1996,296379204,Economic Commission for Latin America and the Caribbean,
1997,400393044,Economic Commission for Latin America and the Caribbean,
1998,420874534,Economic Commission for Latin America and the Caribbean,
1999,388827026,Economic Commission for Latin America and the Caribbean,
2000,444970404,Economic Commission for Latin America and the Caribbean,
2001,402360874,Economic Commission for Latin America and the Caribbean,
2002,399650088,Economic Commission for Latin America and the Caribbean,
2003,439107076,Economic Commission for Latin America and the Caribbean,
2004,512358521,Economic Commission for Latin America and the Caribbean,
2005,469588352,Economic Commission for Latin America and the Caribbean,
2006,536032714,Economic Commission for Latin America and the Caribbean,
2007,635187220,Economic Commission for Latin America and the Caribbean,
2008,616894439,Economic Commission for Latin America and the Caribbean,
2009,618320111,Economic Commission for Latin America and the Caribbean,
2010,571815081,Economic Commission for Latin America and the Caribbean,
2011,563200808,Economic Commission for Latin America and the Caribbean,
2012,580087997,Economic Commission for Latin America and the Caribbean,
