year,value,source,note
1990,79382250,Economic Commission for Latin America and the Caribbean,
1991,90052514,Economic Commission for Latin America and the Caribbean,
1992,190906404,Economic Commission for Latin America and the Caribbean,
1993,185382573,Economic Commission for Latin America and the Caribbean,
1994,294768495,Economic Commission for Latin America and the Caribbean,
1995,304285668,Economic Commission for Latin America and the Caribbean,
1996,367334742,Economic Commission for Latin America and the Caribbean,
1997,611491579,Economic Commission for Latin America and the Caribbean,
1998,780126742,Economic Commission for Latin America and the Caribbean,
1999,886557238,Economic Commission for Latin America and the Caribbean,
2000,979213342,Economic Commission for Latin America and the Caribbean,
2001,1079134865,Economic Commission for Latin America and the Caribbean,
2002,1226237644,Economic Commission for Latin America and the Caribbean,
2003,910042315,Economic Commission for Latin America and the Caribbean,
2004,740949764,Economic Commission for Latin America and the Caribbean,
2005,989434188,Economic Commission for Latin America and the Caribbean,
2006,1156486087,Economic Commission for Latin America and the Caribbean,
2007,1411848911,Economic Commission for Latin America and the Caribbean,
2008,1695956765,Economic Commission for Latin America and the Caribbean,
2009,1780291939,Economic Commission for Latin America and the Caribbean,
2010,2000523903,Economic Commission for Latin America and the Caribbean,
2011,2034739988,Economic Commission for Latin America and the Caribbean,
2012,2107746031,Economic Commission for Latin America and the Caribbean,
