year,value,source,note
1990,33954922,Economic Commission for Latin America and the Caribbean,
1991,64568834,Economic Commission for Latin America and the Caribbean,
1992,109046283,Economic Commission for Latin America and the Caribbean,
1993,137758849,Economic Commission for Latin America and the Caribbean,
1994,169474574,Economic Commission for Latin America and the Caribbean,
1995,178692859,Economic Commission for Latin America and the Caribbean,
1996,183379859,Economic Commission for Latin America and the Caribbean,
1997,197351395,Economic Commission for Latin America and the Caribbean,
1998,239314439,Economic Commission for Latin America and the Caribbean,
1999,269107824,Economic Commission for Latin America and the Caribbean,
2000,309261525,Economic Commission for Latin America and the Caribbean,
2001,298682274,Economic Commission for Latin America and the Caribbean,
2002,257708775,Economic Commission for Latin America and the Caribbean,
2003,331419216,Economic Commission for Latin America and the Caribbean,
2004,367351440,Economic Commission for Latin America and the Caribbean,
2005,416575000,Economic Commission for Latin America and the Caribbean,
2006,366302099,Economic Commission for Latin America and the Caribbean,
2007,369318955,Economic Commission for Latin America and the Caribbean,
2008,452338442,Economic Commission for Latin America and the Caribbean,
2009,363901538,Economic Commission for Latin America and the Caribbean,
2010,454784333,Economic Commission for Latin America and the Caribbean,
2011,526731726,Economic Commission for Latin America and the Caribbean,
2012,549073630,Economic Commission for Latin America and the Caribbean,
