year,value
1950,406562
1951,423490
1952,439143
1953,454072
1954,468711
1955,483376
1956,498266
1957,513462
1958,528938
1959,544592
1960,560296
1961,575976
1962,591665
1963,607528
1964,623794
1965,640541
1966,657975
1967,675811
1968,693051
1969,708356
1970,720816
1971,729872
1972,735896
1973,740041
1974,743984
1975,748877
1976,755241
1977,762549
1978,769637
1979,774818
1980,776927
1981,775662
1982,771596
1983,765512
1984,758580
1985,751720
1986,745133
1987,738779
1988,733057
1989,728382
1990,725043
1991,723259
1992,723008
1993,724014
1994,725839
1995,728136
1996,730865
1997,734059
1998,737526
1999,741046
2000,744471
2001,747657
2002,750629
2003,753612
2004,756939
2005,760834
2006,765367
2007,770407
2008,775739
2009,781055
2010,786126
